"date","sp_det","sp_pred_15","sp_pred_30","sp_pred_45","sp_pred_60","sp_pred_75","sp_pred_90","sp_pred_105","sp_pred_120"
"2017-11-13 00:00",75.675,70,70,70,70,70,70,70,70
"2017-11-13 00:01",75.4873333333,70,70,70,70,70,70,70,70
"2017-11-13 00:02",75.3526666667,70,70,70,70,70,70,70,70
"2017-11-13 00:03",75.322,70,70,70,70,70,70,70,70
"2017-11-13 00:04",75.3486666667,70,70,70,70,70,70,70,70
"2017-11-13 00:05",75.374,70,70,70,70,70,70,70,70
"2017-11-13 00:06",75.3993333333,70,70,70,70,70,70,70,70
"2017-11-13 00:07",75.4986666667,70,70,70,70,70,70,70,70
"2017-11-13 00:08",75.6466666667,70,70,70,70,70,70,70,70
"2017-11-13 00:09",75.8226666667,70,70,70,70,70,70,70,70
"2017-11-13 00:10",76.102,70,70,70,70,70,70,70,70
"2017-11-13 00:11",76.3513333333,70,70,70,70,70,70,70,70
"2017-11-13 00:12",76.6006666667,70,70,70,70,70,70,70,70
"2017-11-13 00:13",76.75,70,70,70,70,70,70,70,70
"2017-11-13 00:14",76.934,70,70,70,70,70,70,70,70
"2017-11-13 00:15",77.118,70,70,70,70,70,70,70,70
"2017-11-13 00:16",77.276,70,70,70,70,70,70,70,70
"2017-11-13 00:17",77.3106666667,70,70,70,70,70,70,70,70
"2017-11-13 00:18",77.2686666667,70,70,70,70,70,70,70,70
"2017-11-13 00:19",77.2266666667,70,70,70,70,70,70,70,70
"2017-11-13 00:20",77.1293333333,70,70,70,70,70,70,70,70
"2017-11-13 00:21",77.0633333333,70,70,70,70,70,70,70,70
"2017-11-13 00:22",76.9253333333,70,70,70,70,70,70,70,70
"2017-11-13 00:23",76.812,70,70,70,70,70,70,70,70
"2017-11-13 00:24",76.6086666667,70,70,70,70,70,70,70,70
"2017-11-13 00:25",76.3373333333,70,70,70,70,70,70,70,70
"2017-11-13 00:26",76.1286666667,70,70,70,70,70,70,70,70
"2017-11-13 00:27",75.844,70,70,70,70,70,70,70,70
"2017-11-13 00:28",75.6673333333,70,70,70,70,70,70,70,70
"2017-11-13 00:29",75.566,70,70,70,70,70,70,70,70
"2017-11-13 00:30",75.5013333333,70,70,70,70,70,70,70,70
"2017-11-13 00:31",75.5033333333,70,70,70,70,70,70,70,70
"2017-11-13 00:32",75.5326666667,70,70,70,70,70,70,70,70
"2017-11-13 00:33",75.5733333333,70,70,70,70,70,70,70,70
"2017-11-13 00:34",75.614,70,70,70,70,70,70,70,70
"2017-11-13 00:35",75.648,70,70,70,70,70,70,70,70
"2017-11-13 00:36",75.6506666667,70,70,70,70,70,70,70,70
"2017-11-13 00:37",75.702,70,70,70,70,70,70,70,70
"2017-11-13 00:38",75.7906666667,70,70,70,70,70,70,70,70
"2017-11-13 00:39",75.8953333333,70,70,70,70,70,70,70,70
"2017-11-13 00:40",76,70,70,70,70,70,70,70,70
"2017-11-13 00:41",76.072,70,70,70,70,70,70,70,70
"2017-11-13 00:42",76.2653333333,70,70,70,70,70,70,70,70
"2017-11-13 00:43",76.3506666667,70,70,70,70,70,70,70,70
"2017-11-13 00:44",76.3946666667,70,70,70,70,70,70,70,70
"2017-11-13 00:45",76.4573333333,70,70,70,70,70,70,70,70
"2017-11-13 00:46",76.4613333333,70,70,70,70,70,70,70,70
"2017-11-13 00:47",76.6053333333,70,70,70,70,70,70,70,70
"2017-11-13 00:48",76.7193333333,70,70,70,70,70,70,70,70
"2017-11-13 00:49",76.5986666667,70,70,70,70,70,70,70,70
"2017-11-13 00:50",76.492,70,70,70,70,70,70,70,70
"2017-11-13 00:51",76.4046666667,70,70,70,70,70,70,70,70
"2017-11-13 00:52",76.2573333333,70,70,70,70,70,70,70,70
"2017-11-13 00:53",76.1526666667,70,70,70,70,70,70,70,70
"2017-11-13 00:54",76.084,70,70,70,70,70,70,70,70
"2017-11-13 00:55",76.0066666667,70,70,70,70,70,70,70,70
"2017-11-13 00:56",75.9293333333,70,70,70,70,70,70,70,70
"2017-11-13 00:57",75.8066666667,70,70,70,70,70,70,70,70
"2017-11-13 00:58",75.7428571429,70,70,70,70,70,70,70,70
"2017-11-13 00:59",75.5593333333,70,70,70,70,70,70,70,70
"2017-11-13 01:00",75.3821428571,70,70,70,70,70,70,70,70
"2017-11-13 01:01",75.2235714286,70,70,70,70,70,70,70,70
"2017-11-13 01:02",75.1653333333,70,70,70,70,70,70,70,70
"2017-11-13 01:03",75.0273333333,70,70,70,70,70,70,70,70
"2017-11-13 01:04",75.124,70,70,70,70,70,70,70,70
"2017-11-13 01:05",75.224,70,70,70,70,70,70,70,70
"2017-11-13 01:06",75.3093333333,70,70,70,70,70,70,70,70
"2017-11-13 01:07",75.406,70,70,70,70,70,70,70,70
"2017-11-13 01:08",75.46,70,70,70,70,70,70,70,70
"2017-11-13 01:09",75.5206666667,70,70,70,70,70,70,70,70
"2017-11-13 01:10",75.6533333333,70,70,70,70,70,70,70,70
"2017-11-13 01:11",75.7853333333,70,70,70,70,70,70,70,70
"2017-11-13 01:12",75.8373333333,70,70,70,70,70,70,70,70
"2017-11-13 01:13",75.8893333333,70,70,70,70,70,70,70,70
"2017-11-13 01:14",75.9193333333,70,70,70,70,70,70,70,70
"2017-11-13 01:15",75.976,70,70,70,70,70,70,70,70
"2017-11-13 01:16",75.942,70,70,70,70,70,70,70,70
"2017-11-13 01:17",75.908,70,70,70,70,70,70,70,70
"2017-11-13 01:18",75.912,70,70,70,70,70,70,70,70
"2017-11-13 01:19",75.9293333333,70,70,70,70,70,70,70,70
"2017-11-13 01:20",75.9586666667,70,70,70,70,70,70,70,70
"2017-11-13 01:21",75.9833333333,70,70,70,70,70,70,70,70
"2017-11-13 01:22",76.008,70,70,70,70,70,70,70,70
"2017-11-13 01:23",76.0326666667,70,70,70,70,70,70,70,70
"2017-11-13 01:24",76.0506666667,70,70,70,70,70,70,70,70
"2017-11-13 01:25",76.0053333333,70,70,70,70,70,70,70,70
"2017-11-13 01:26",75.9753333333,70,70,70,70,70,70,70,70
"2017-11-13 01:27",76.0813333333,70,70,70,70,70,70,70,70
"2017-11-13 01:28",76.2426666667,70,70,70,70,70,70,70,70
"2017-11-13 01:29",76.3186666667,70,70,70,70,70,70,70,70
"2017-11-13 01:30",76.3946666667,70,70,70,70,70,70,70,70
"2017-11-13 01:31",76.4646666667,70,70,70,70,70,70,70,70
"2017-11-13 01:32",76.5346666667,70,70,70,70,70,70,70,70
"2017-11-13 01:33",76.6046666667,70,70,70,70,70,70,70,70
"2017-11-13 01:34",76.6613333333,70,70,70,70,70,70,70,70
"2017-11-13 01:35",76.768,70,70,70,70,70,70,70,70
"2017-11-13 01:36",76.8046666667,70,70,70,70,70,70,70,70
"2017-11-13 01:37",76.9053333333,70,70,70,70,70,70,70,70
"2017-11-13 01:38",77.006,70,70,70,70,70,70,70,70
"2017-11-13 01:39",77.1066666667,70,70,70,70,70,70,70,70
"2017-11-13 01:40",77.08,70,70,70,70,70,70,70,70
"2017-11-13 01:41",77.0386666667,70,70,70,70,70,70,70,70
"2017-11-13 01:42",76.9413333333,70,70,70,70,70,70,70,70
"2017-11-13 01:43",76.7893333333,70,70,70,70,70,70,70,70
"2017-11-13 01:44",76.7446666667,70,70,70,70,70,70,70,70
"2017-11-13 01:45",76.7,70,70,70,70,70,70,70,70
"2017-11-13 01:46",76.6773333333,70,70,70,70,70,70,70,70
"2017-11-13 01:47",76.694,70,70,70,70,70,70,70,70
"2017-11-13 01:48",76.7106666667,70,70,70,70,70,70,70,70
"2017-11-13 01:49",76.6566666667,70,70,70,70,70,70,70,70
"2017-11-13 01:50",76.5406666667,70,70,70,70,70,70,70,70
"2017-11-13 01:51",76.4946666667,70,70,70,70,70,70,70,70
"2017-11-13 01:52",76.3846666667,70,70,70,70,70,70,70,70
"2017-11-13 01:53",76.272,70,70,70,70,70,70,70,70
"2017-11-13 01:54",76.1593333333,70,70,70,70,70,70,70,70
"2017-11-13 01:55",76.174,70,70,70,70,70,70,70,70
"2017-11-13 01:56",76.1886666667,70,70,70,70,70,70,70,70
"2017-11-13 01:57",76.2033333333,70,70,70,70,70,70,70,70
"2017-11-13 01:58",76.2173333333,70,70,70,70,70,70,70,70
"2017-11-13 01:59",76.1993333333,70,70,70,70,70,70,70,70
"2017-11-13 02:00",76.1813333333,70,70,70,70,70,70,70,70
"2017-11-13 02:01",76.1585714286,70,70,70,70,70,70,70,70
"2017-11-13 02:02",76.074,70,70,70,70,70,70,70,70
"2017-11-13 02:03",76.0653333333,70,70,70,70,70,70,70,70
"2017-11-13 02:04",76.1273333333,70,70,70,70,70,70,70,70
"2017-11-13 02:05",76.1646666667,70,70,70,70,70,70,70,70
"2017-11-13 02:06",76.2433333333,70,70,70,70,70,70,70,70
"2017-11-13 02:07",76.322,70,70,70,70,70,70,70,70
"2017-11-13 02:08",76.4033333333,70,70,70,70,70,70,70,70
"2017-11-13 02:09",76.4846666667,70,70,70,70,70,70,70,70
"2017-11-13 02:10",76.566,70,70,70,70,70,70,70,70
"2017-11-13 02:11",76.6473333333,70,70,70,70,70,70,70,70
"2017-11-13 02:12",76.7286666667,70,70,70,70,70,70,70,70
"2017-11-13 02:13",76.7766666667,70,70,70,70,70,70,70,70
"2017-11-13 02:14",76.8246666667,70,70,70,70,70,70,70,70
"2017-11-13 02:15",76.8842857143,70,70,70,70,70,70,70,70
"2017-11-13 02:16",76.8671428571,70,70,70,70,70,70,70,70
"2017-11-13 02:17",76.8235714286,70,70,70,70,70,70,70,70
"2017-11-13 02:18",76.6928571429,70,70,70,70,70,70,70,70
"2017-11-13 02:19",76.635,70,70,70,70,70,70,70,70
"2017-11-13 02:20",76.6035714286,70,70,70,70,70,70,70,70
"2017-11-13 02:21",76.5278571429,70,70,70,70,70,70,70,70
"2017-11-13 02:22",76.4521428571,70,70,70,70,70,70,70,70
"2017-11-13 02:23",76.3764285714,70,70,70,70,70,70,70,70
"2017-11-13 02:24",76.2264285714,70,70,70,70,70,70,70,70
"2017-11-13 02:25",76.0764285714,70,70,70,70,70,70,70,70
"2017-11-13 02:26",75.93,70,70,70,70,70,70,70,70
"2017-11-13 02:27",75.7835714286,70,70,70,70,70,70,70,70
"2017-11-13 02:28",75.6728571429,70,70,70,70,70,70,70,70
"2017-11-13 02:29",75.5621428571,70,70,70,70,70,70,70,70
"2017-11-13 02:30",75.5353333333,70,70,70,70,70,70,70,70
"2017-11-13 02:31",75.496,70,70,70,70,70,70,70,70
"2017-11-13 02:32",75.6126666667,70,70,70,70,70,70,70,70
"2017-11-13 02:33",75.746,70,70,70,70,70,70,70,70
"2017-11-13 02:34",75.8113333333,70,70,70,70,70,70,70,70
"2017-11-13 02:35",75.8586666667,70,70,70,70,70,70,70,70
"2017-11-13 02:36",75.906,70,70,70,70,70,70,70,70
"2017-11-13 02:37",75.9533333333,70,70,70,70,70,70,70,70
"2017-11-13 02:38",75.9093333333,70,70,70,70,70,70,70,70
"2017-11-13 02:39",75.9346666667,70,70,70,70,70,70,70,70
"2017-11-13 02:40",75.936,70,70,70,70,70,70,70,70
"2017-11-13 02:41",75.9933333333,70,70,70,70,70,70,70,70
"2017-11-13 02:42",76.0233333333,70,70,70,70,70,70,70,70
"2017-11-13 02:43",76.062,70,70,70,70,70,70,70,70
"2017-11-13 02:44",76.1006666667,70,70,70,70,70,70,70,70
"2017-11-13 02:45",76.1393333333,70,70,70,70,70,70,70,70
"2017-11-13 02:46",76.178,70,70,70,70,70,70,70,70
"2017-11-13 02:47",76.0853333333,70,70,70,70,70,70,70,70
"2017-11-13 02:48",75.9926666667,70,70,70,70,70,70,70,70
"2017-11-13 02:49",75.8606666667,70,70,70,70,70,70,70,70
"2017-11-13 02:50",75.7126666667,70,70,70,70,70,70,70,70
"2017-11-13 02:51",75.5646666667,70,70,70,70,70,70,70,70
"2017-11-13 02:52",75.4166666667,70,70,70,70,70,70,70,70
"2017-11-13 02:53",75.36,70,70,70,70,70,70,70,70
"2017-11-13 02:54",75.3033333333,70,70,70,70,70,70,70,70
"2017-11-13 02:55",75.2006666667,70,70,70,70,70,70,70,70
"2017-11-13 02:56",75.01,70,70,70,70,70,70,70,70
"2017-11-13 02:57",74.8386666667,70,70,70,70,70,70,70,70
"2017-11-13 02:58",74.6586666667,70,70,70,70,70,70,70,70
"2017-11-13 02:59",74.4786666667,70,70,70,70,70,70,70,70
"2017-11-13 03:00",74.392,70,70,70,70,70,70,70,70
"2017-11-13 03:01",74.3266666667,70,70,70,70,70,70,70,70
"2017-11-13 03:02",74.3233333333,70,70,70,70,70,70,70,70
"2017-11-13 03:03",74.32,70,70,70,70,70,70,70,70
"2017-11-13 03:04",74.356,70,70,70,70,70,70,70,70
"2017-11-13 03:05",74.426,70,70,70,70,70,70,70,70
"2017-11-13 03:06",74.496,70,70,70,70,70,70,70,70
"2017-11-13 03:07",74.566,70,70,70,70,70,70,70,70
"2017-11-13 03:08",74.636,70,70,70,70,70,70,70,70
"2017-11-13 03:09",74.6746666667,70,70,70,70,70,70,70,70
"2017-11-13 03:10",74.7833333333,70,70,70,70,70,70,70,70
"2017-11-13 03:11",74.8966666667,70,70,70,70,70,70,70,70
"2017-11-13 03:12",75.018,70,70,70,70,70,70,70,70
"2017-11-13 03:13",75.1393333333,70,70,70,70,70,70,70,70
"2017-11-13 03:14",75.236,70,70,70,70,70,70,70,70
"2017-11-13 03:15",75.218,70,70,70,70,70,70,70,70
"2017-11-13 03:16",75.1786666667,70,70,70,70,70,70,70,70
"2017-11-13 03:17",75.0153333333,70,70,70,70,70,70,70,70
"2017-11-13 03:18",74.9333333333,70,70,70,70,70,70,70,70
"2017-11-13 03:19",74.8973333333,70,70,70,70,70,70,70,70
"2017-11-13 03:20",74.8333333333,70,70,70,70,70,70,70,70
"2017-11-13 03:21",74.8473333333,70,70,70,70,70,70,70,70
"2017-11-13 03:22",74.8613333333,70,70,70,70,70,70,70,70
"2017-11-13 03:23",74.8666666667,70,70,70,70,70,70,70,70
"2017-11-13 03:24",74.9033333333,70,70,70,70,70,70,70,70
"2017-11-13 03:25",74.94,70,70,70,70,70,70,70,70
"2017-11-13 03:26",75.0613333333,70,70,70,70,70,70,70,70
"2017-11-13 03:27",75.1826666667,70,70,70,70,70,70,70,70
"2017-11-13 03:28",75.304,70,70,70,70,70,70,70,70
"2017-11-13 03:29",75.45,70,70,70,70,70,70,70,70
