"date","vol_det","vol_pred_15","vol_pred_30","vol_pred_45","vol_pred_60","vol_pred_75","vol_pred_90","vol_pred_105","vol_pred_120"
"2017-11-13 00:00",13,19,18,20,14,21,20,14,15
"2017-11-13 00:01",13,20,27,12,23,16,29,22,25
"2017-11-13 00:02",13,24,22,16,19,16,23,26,21
"2017-11-13 00:03",13,18,23,17,17,9,20,20,19
"2017-11-13 00:04",13,24,27,15,16,12,15,17,19
"2017-11-13 00:05",12,26,15,19,15,19,12,28,24
"2017-11-13 00:06",12,18,19,17,15,18,17,15,23
"2017-11-13 00:07",12,21,26,26,16,20,23,23,13
"2017-11-13 00:08",12,14,24,22,18,22,25,17,21
"2017-11-13 00:09",12,18,20,13,26,14,11,22,22
"2017-11-13 00:10",11.8,27,18,14,8,15,16,15,22
"2017-11-13 00:11",11.8,10,15,13,19,15,24,28,18
"2017-11-13 00:12",11.8,16,19,13,21,23,23,30,21
"2017-11-13 00:13",11.8,16,22,15,19,13,16,33,17
"2017-11-13 00:14",11.8,17,17,21,14,17,10,12,14
"2017-11-13 00:15",12.2,12,15,17,22,22,17,18,12
"2017-11-13 00:16",12.2,16,10,10,20,17,13,11,21
"2017-11-13 00:17",12.2,12,19,5,22,16,23,14,20
"2017-11-13 00:18",12.2,16,15,10,12,16,12,18,18
"2017-11-13 00:19",12.2,17,11,15,15,6,11,18,15
"2017-11-13 00:20",14.4,13,16,16,14,18,10,11,20
"2017-11-13 00:21",14.4,7,15,17,11,15,15,10,11
"2017-11-13 00:22",14.4,12,10,7,11,13,12,12,18
"2017-11-13 00:23",14.4,10,9,14,10,16,10,8,13
"2017-11-13 00:24",14.4,13,12,14,7,5,10,9,14
"2017-11-13 00:25",11.4,19,11,7,11,8,13,8,21
"2017-11-13 00:26",11.4,14,12,9,20,9,17,9,17
"2017-11-13 00:27",11.4,12,12,8,8,14,12,16,12
"2017-11-13 00:28",11.4,18,6,12,13,12,15,11,9
"2017-11-13 00:29",11.4,9,10,9,13,13,16,9,13
"2017-11-13 00:30",9.6,14,10,9,11,10,10,12,14
"2017-11-13 00:31",9.6,9,6,10,12,16,9,8,8
"2017-11-13 00:32",9.6,11,12,11,11,16,10,8,13
"2017-11-13 00:33",9.6,15,18,8,17,16,17,18,17
"2017-11-13 00:34",9.6,9,13,13,14,11,10,10,20
"2017-11-13 00:35",9,10,9,11,9,12,14,16,12
"2017-11-13 00:36",9,13,13,11,12,16,10,9,9
"2017-11-13 00:37",9,15,15,11,7,10,12,16,17
"2017-11-13 00:38",9,12,15,9,10,13,12,10,13
"2017-11-13 00:39",9,7,7,13,11,11,10,15,16
"2017-11-13 00:40",11.2,11,11,8,7,10,7,7,16
"2017-11-13 00:41",11.2,10,20,12,15,12,9,12,5
"2017-11-13 00:42",11.2,13,6,13,20,15,13,13,12
"2017-11-13 00:43",11.2,18,8,14,7,8,14,14,12
"2017-11-13 00:44",11.2,15,16,19,10,15,5,9,7
"2017-11-13 00:45",10,9,7,10,5,10,11,5,14
"2017-11-13 00:46",10,13,12,13,10,13,12,15,11
"2017-11-13 00:47",10,12,10,9,13,11,11,16,5
"2017-11-13 00:48",10,16,5,9,6,3,11,14,12
"2017-11-13 00:49",10,11,19,10,11,13,13,15,9
"2017-11-13 00:50",7.8,14,9,6,10,10,10,11,10
"2017-11-13 00:51",7.8,13,10,13,11,13,14,6,15
"2017-11-13 00:52",7.8,11,14,15,11,7,14,16,8
"2017-11-13 00:53",7.8,9,19,11,15,12,7,8,17
"2017-11-13 00:54",7.8,5,12,9,13,4,17,10,8
"2017-11-13 00:55",7.4,11,12,11,17,11,10,8,10
"2017-11-13 00:56",7.4,16,8,11,11,10,11,9,12
"2017-11-13 00:57",7.4,16,12,10,13,8,17,7,12
"2017-11-13 00:58",7.4,10,12,12,10,10,15,13,12
"2017-11-13 00:59",7.4,10,10,11,7,6,10,7,8
"2017-11-13 01:00",6.2,12,16,17,15,11,10,17,12
"2017-11-13 01:01",6.2,15,18,18,16,16,5,14,9
"2017-11-13 01:02",6.2,10,12,7,7,10,15,8,8
"2017-11-13 01:03",6.2,12,10,9,10,9,9,12,12
"2017-11-13 01:04",6.2,9,12,8,6,13,15,4,5
"2017-11-13 01:05",6.4,10,13,12,8,15,16,8,15
"2017-11-13 01:06",6.4,11,9,14,12,13,22,8,9
"2017-11-13 01:07",6.4,8,11,9,9,11,4,14,16
"2017-11-13 01:08",6.4,13,7,10,8,17,8,7,8
"2017-11-13 01:09",6.4,13,11,14,16,5,13,9,6
"2017-11-13 01:10",8.6,15,5,11,13,12,5,11,15
"2017-11-13 01:11",8.6,9,5,10,9,12,10,14,7
"2017-11-13 01:12",8.6,11,7,9,9,14,11,8,12
"2017-11-13 01:13",8.6,16,12,16,12,10,8,12,16
"2017-11-13 01:14",8.6,14,8,12,10,13,10,9,7
"2017-11-13 01:15",5.6,11,10,11,12,7,7,6,12
"2017-11-13 01:16",5.6,9,11,5,7,12,14,4,11
"2017-11-13 01:17",5.6,9,7,8,7,10,9,8,10
"2017-11-13 01:18",5.6,6,13,10,10,6,6,7,5
"2017-11-13 01:19",5.6,15,8,5,7,10,8,6,7
"2017-11-13 01:20",6,15,7,8,8,9,3,7,11
"2017-11-13 01:21",6,8,8,8,6,8,11,4,10
"2017-11-13 01:22",6,11,6,10,12,6,7,3,9
"2017-11-13 01:23",6,6,8,12,5,8,5,8,11
"2017-11-13 01:24",6,8,3,5,3,7,5,8,6
"2017-11-13 01:25",8.2,7,5,8,5,7,5,8,8
"2017-11-13 01:26",8.2,6,5,9,6,9,6,8,4
"2017-11-13 01:27",8.2,7,6,5,3,7,15,9,2
"2017-11-13 01:28",8.2,4,4,6,4,8,9,4,3
"2017-11-13 01:29",8.2,9,12,9,8,8,5,6,9
"2017-11-13 01:30",5.2,9,6,5,9,8,14,9,10
"2017-11-13 01:31",5.2,10,5,5,10,11,7,14,3
"2017-11-13 01:32",5.2,6,11,4,9,8,10,3,10
"2017-11-13 01:33",5.2,2,9,12,4,10,12,13,13
"2017-11-13 01:34",5.2,10,5,4,7,7,5,16,6
"2017-11-13 01:35",7.6,4,4,5,9,8,9,3,6
"2017-11-13 01:36",7.6,9,8,7,7,7,3,8,7
"2017-11-13 01:37",7.6,5,9,4,6,4,8,9,6
"2017-11-13 01:38",7.6,5,10,5,4,7,5,10,9
"2017-11-13 01:39",7.6,7,6,4,7,2,5,4,6
"2017-11-13 01:40",10.4,10,9,6,9,6,6,5,7
"2017-11-13 01:41",10.4,5,7,11,10,6,6,9,5
"2017-11-13 01:42",10.4,5,10,5,9,6,7,5,6
"2017-11-13 01:43",10.4,4,6,9,5,9,3,7,10
"2017-11-13 01:44",10.4,3,8,6,5,5,7,8,3
"2017-11-13 01:45",7.4,7,4,8,7,7,10,4,8
"2017-11-13 01:46",7.4,8,4,9,14,8,5,7,7
"2017-11-13 01:47",7.4,10,6,3,5,5,6,2,5
"2017-11-13 01:48",7.4,11,4,12,7,8,8,7,7
"2017-11-13 01:49",7.4,14,7,7,2,8,12,4,8
"2017-11-13 01:50",6.4,7,5,10,3,9,14,5,7
"2017-11-13 01:51",6.4,8,5,5,3,7,7,9,5
"2017-11-13 01:52",6.4,9,4,14,6,3,4,10,5
"2017-11-13 01:53",6.4,5,9,14,6,7,7,13,5
"2017-11-13 01:54",6.4,6,6,4,9,8,7,7,5
"2017-11-13 01:55",6.6,5,12,4,5,7,4,4,7
"2017-11-13 01:56",6.6,8,4,9,3,8,14,8,14
"2017-11-13 01:57",6.6,9,9,4,8,6,8,6,7
"2017-11-13 01:58",6.6,5,5,9,7,9,6,4,10
"2017-11-13 01:59",6.6,4,4,7,5,4,9,2,10
"2017-11-13 02:00",3.4,8,7,11,5,9,11,7,7
"2017-11-13 02:01",3.4,12,11,5,7,7,8,8,5
"2017-11-13 02:02",3.4,6,7,5,7,9,10,7,7
"2017-11-13 02:03",3.4,3,3,4,11,7,8,10,9
"2017-11-13 02:04",3.4,9,8,10,11,3,8,10,8
"2017-11-13 02:05",5,9,11,5,2,7,4,7,10
"2017-11-13 02:06",5,7,7,8,3,6,12,6,3
"2017-11-13 02:07",5,9,1,7,6,4,14,9,5
"2017-11-13 02:08",5,1,6,6,5,1,9,4,6
"2017-11-13 02:09",5,7,7,5,5,6,9,10,9
"2017-11-13 02:10",6,13,6,4,6,9,7,6,10
"2017-11-13 02:11",6,6,15,5,10,6,6,7,5
"2017-11-13 02:12",6,8,10,7,12,8,5,5,12
"2017-11-13 02:13",6,6,6,11,4,5,9,5,10
"2017-11-13 02:14",6,8,4,9,6,4,8,10,4
"2017-11-13 02:15",4.4,10,6,9,4,9,9,7,5
"2017-11-13 02:16",4.4,8,6,10,5,6,10,4,2
"2017-11-13 02:17",4.4,5,13,2,5,15,12,7,5
"2017-11-13 02:18",4.4,5,5,7,3,6,3,8,6
"2017-11-13 02:19",4.4,17,1,9,9,5,9,5,12
"2017-11-13 02:20",5,5,12,8,13,8,4,9,9
"2017-11-13 02:21",5,3,10,7,8,8,8,11,6
"2017-11-13 02:22",5,8,9,9,5,5,4,5,8
"2017-11-13 02:23",5,6,8,6,7,3,4,8,6
"2017-11-13 02:24",5,5,5,3,6,3,5,2,6
"2017-11-13 02:25",5.8,5,7,2,13,8,3,8,9
"2017-11-13 02:26",5.8,8,11,8,6,7,8,3,6
"2017-11-13 02:27",5.8,7,8,6,9,10,5,8,3
"2017-11-13 02:28",5.8,8,5,8,11,3,4,11,7
"2017-11-13 02:29",5.8,8,8,8,14,8,5,5,7
"2017-11-13 02:30",5,7,11,4,7,4,5,4,5
"2017-11-13 02:31",5,9,3,5,7,8,3,2,6
"2017-11-13 02:32",5,7,5,6,7,7,5,10,8
"2017-11-13 02:33",5,4,7,8,11,9,9,8,7
"2017-11-13 02:34",5,9,5,14,3,5,4,5,4
"2017-11-13 02:35",6.8,4,7,1,5,5,4,2,10
"2017-11-13 02:36",6.8,8,4,10,8,8,16,8,6
"2017-11-13 02:37",6.8,3,7,1,9,7,8,4,9
"2017-11-13 02:38",6.8,3,6,6,6,5,6,3,6
"2017-11-13 02:39",6.8,6,10,5,10,13,10,7,7
"2017-11-13 02:40",6.6,6,5,8,6,8,10,5,4
"2017-11-13 02:41",6.6,8,8,7,6,5,8,6,7
"2017-11-13 02:42",6.6,8,7,4,10,6,3,8,12
"2017-11-13 02:43",6.6,5,7,4,7,8,5,7,9
"2017-11-13 02:44",6.6,10,13,5,8,6,11,7,10
"2017-11-13 02:45",5.2,5,11,6,12,5,7,10,8
"2017-11-13 02:46",5.2,5,5,8,6,2,3,8,9
"2017-11-13 02:47",5.2,8,4,7,6,8,6,6,8
"2017-11-13 02:48",5.2,5,6,3,4,5,6,12,5
