"date","vol_det","vol_pred_15","vol_pred_30","vol_pred_45","vol_pred_60","vol_pred_75","vol_pred_90","vol_pred_105","vol_pred_120"
"2017-11-13 00:00",0.571428571429,3,5,5,7,6,4,8,7
"2017-11-13 00:01",1.06666666667,8,4,5,14,4,3,4,6
"2017-11-13 00:02",1.33333333333,5,4,4,7,5,4,8,4
"2017-11-13 00:03",1.33333333333,7,14,4,5,4,4,9,2
"2017-11-13 00:04",1.33333333333,5,5,7,8,6,3,9,5
"2017-11-13 00:05",1.33333333333,6,3,6,7,6,4,2,6
"2017-11-13 00:06",1.33333333333,4,4,3,4,1,6,5,5
"2017-11-13 00:07",1.6,6,3,5,9,6,1,6,9
"2017-11-13 00:08",1.6,3,4,5,2,6,3,4,1
"2017-11-13 00:09",1.6,5,4,7,11,6,8,6,12
"2017-11-13 00:10",1.86666666667,3,8,11,7,5,6,11,4
"2017-11-13 00:11",2.13333333333,8,3,2,3,4,6,8,8
"2017-11-13 00:12",2.13333333333,4,5,6,2,7,3,2,6
"2017-11-13 00:13",2.13333333333,3,4,4,2,2,7,6,3
"2017-11-13 00:14",2.13333333333,2,3,2,2,4,0,3,3
"2017-11-13 00:15",2.13333333333,2,1,1,3,4,3,1,4
"2017-11-13 00:16",2.13333333333,8,1,5,0,1,5,2,1
"2017-11-13 00:17",1.86666666667,0,6,2,3,4,5,4,4
"2017-11-13 00:18",1.86666666667,2,2,1,3,2,2,2,3
"2017-11-13 00:19",1.86666666667,1,2,1,6,1,2,4,4
"2017-11-13 00:20",1.6,1,4,4,2,5,3,5,4
"2017-11-13 00:21",1.86666666667,1,4,1,2,4,2,3,2
"2017-11-13 00:22",1.6,6,1,2,2,3,1,2,4
"2017-11-13 00:23",1.86666666667,0,2,0,1,2,4,4,1
"2017-11-13 00:24",2.13333333333,1,3,1,6,2,1,0,3
"2017-11-13 00:25",1.86666666667,4,3,6,5,4,4,4,3
"2017-11-13 00:26",1.6,2,3,2,3,4,3,1,3
"2017-11-13 00:27",2.13333333333,4,1,3,1,1,3,3,1
"2017-11-13 00:28",1.86666666667,5,6,4,4,4,4,4,2
"2017-11-13 00:29",1.86666666667,3,4,4,3,2,1,5,7
"2017-11-13 00:30",1.33333333333,4,2,2,0,2,1,2,3
"2017-11-13 00:31",1.33333333333,2,1,6,7,5,4,4,5
"2017-11-13 00:32",1.33333333333,4,2,0,3,4,1,2,2
"2017-11-13 00:33",1.33333333333,3,6,1,3,4,4,7,5
"2017-11-13 00:34",1.33333333333,4,3,3,3,2,3,4,3
"2017-11-13 00:35",1.33333333333,2,3,6,6,3,3,7,3
"2017-11-13 00:36",1.06666666667,3,2,5,2,4,2,5,3
"2017-11-13 00:37",1.06666666667,7,0,6,3,3,2,5,4
"2017-11-13 00:38",1.06666666667,2,6,4,2,1,5,4,3
"2017-11-13 00:39",0.8,3,4,2,3,4,4,5,2
"2017-11-13 00:40",0.8,0,2,2,0,5,1,1,4
"2017-11-13 00:41",0.8,4,5,3,4,6,2,3,5
"2017-11-13 00:42",0.266666666667,5,3,2,2,3,4,3,2
"2017-11-13 00:43",0.266666666667,3,4,2,1,8,2,4,4
"2017-11-13 00:44",0.8,4,4,4,6,4,6,4,4
"2017-11-13 00:45",0.8,3,2,1,8,7,5,3,2
"2017-11-13 00:46",1.06666666667,1,3,2,5,5,5,2,2
"2017-11-13 00:47",1.06666666667,1,2,5,3,2,6,2,7
"2017-11-13 00:48",1.06666666667,1,7,2,2,4,4,1,2
"2017-11-13 00:49",1.06666666667,7,4,3,3,2,4,8,5
"2017-11-13 00:50",1.33333333333,5,9,6,2,5,5,7,0
"2017-11-13 00:51",1.33333333333,2,4,8,2,4,2,1,5
"2017-11-13 00:52",1.33333333333,5,2,7,3,3,2,4,9
"2017-11-13 00:53",1.06666666667,2,0,2,1,4,4,4,1
"2017-11-13 00:54",1.2,2,2,6,6,6,5,1,3
"2017-11-13 00:55",1.2,4,2,3,6,5,3,3,3
"2017-11-13 00:56",1.2,4,3,3,3,2,1,4,3
"2017-11-13 00:57",1.2,6,8,6,3,3,2,2,3
"2017-11-13 00:58",1.28571428571,5,3,0,3,2,2,3,3
"2017-11-13 00:59",0.666666666667,7,3,5,2,11,3,4,5
"2017-11-13 01:00",0.714285714286,4,5,3,3,5,6,4,2
"2017-11-13 01:01",0.428571428571,3,4,2,2,5,3,5,4
"2017-11-13 01:02",0.4,3,1,1,5,2,2,1,3
"2017-11-13 01:03",0.4,2,3,3,6,4,6,5,4
"2017-11-13 01:04",0.4,1,0,1,0,0,3,2,3
"2017-11-13 01:05",0.133333333333,2,6,5,5,7,3,5,9
"2017-11-13 01:06",0.133333333333,3,2,1,4,2,1,5,3
"2017-11-13 01:07",0.133333333333,3,1,3,2,4,3,2,4
"2017-11-13 01:08",0.133333333333,1,2,10,7,3,1,4,1
"2017-11-13 01:09",0,1,3,3,8,4,3,8,1
"2017-11-13 01:10",0,4,2,3,0,4,2,1,0
"2017-11-13 01:11",0,3,1,1,1,5,4,7,1
"2017-11-13 01:12",0.266666666667,4,0,1,2,1,0,1,1
"2017-11-13 01:13",0.266666666667,0,4,1,4,3,4,8,0
"2017-11-13 01:14",0.266666666667,1,3,3,2,2,4,1,2
"2017-11-13 01:15",0.533333333333,2,3,3,4,4,3,1,2
"2017-11-13 01:16",0.533333333333,2,4,0,3,0,2,1,3
"2017-11-13 01:17",0.533333333333,0,0,4,1,1,4,3,3
"2017-11-13 01:18",0.533333333333,0,2,0,4,1,2,0,2
"2017-11-13 01:19",0.533333333333,3,3,2,3,5,4,2,6
"2017-11-13 01:20",0.533333333333,5,1,1,3,0,1,1,2
"2017-11-13 01:21",0.533333333333,2,2,3,2,4,6,0,7
"2017-11-13 01:22",0.533333333333,2,1,3,4,0,3,0,6
"2017-11-13 01:23",0.533333333333,2,1,0,4,4,3,6,1
"2017-11-13 01:24",0.533333333333,3,0,1,3,3,3,1,3
"2017-11-13 01:25",0.533333333333,4,0,0,2,2,1,4,1
"2017-11-13 01:26",0.533333333333,1,0,0,0,1,2,1,2
"2017-11-13 01:27",0.266666666667,1,1,3,1,1,1,3,2
"2017-11-13 01:28",0.266666666667,2,1,2,1,2,4,1,4
"2017-11-13 01:29",0.266666666667,2,2,3,1,1,2,2,3
"2017-11-13 01:30",0,0,2,5,4,1,0,2,2
"2017-11-13 01:31",0,2,3,1,2,3,2,3,1
"2017-11-13 01:32",0,4,3,0,2,1,0,0,2
"2017-11-13 01:33",0,6,0,1,1,1,3,1,1
"2017-11-13 01:34",0,4,1,2,0,1,3,2,2
"2017-11-13 01:35",0,3,4,3,2,1,1,3,3
"2017-11-13 01:36",0,1,2,0,1,2,2,2,3
"2017-11-13 01:37",0,2,4,1,6,2,2,2,3
"2017-11-13 01:38",0,1,2,1,1,1,1,0,4
"2017-11-13 01:39",0,2,3,1,3,3,5,1,1
"2017-11-13 01:40",0,2,0,0,0,2,1,5,5
"2017-11-13 01:41",0,4,1,0,1,3,2,3,3
"2017-11-13 01:42",0,3,0,1,1,2,2,0,1
"2017-11-13 01:43",0,3,0,2,4,3,3,4,2
"2017-11-13 01:44",0,1,4,0,1,1,2,3,4
"2017-11-13 01:45",0,3,3,4,3,2,3,7,4
"2017-11-13 01:46",0,0,2,2,0,1,1,0,2
"2017-11-13 01:47",0.266666666667,0,4,6,3,7,1,1,2
"2017-11-13 01:48",0.266666666667,1,4,4,5,4,4,2,5
"2017-11-13 01:49",0.8,2,3,2,1,1,3,6,1
"2017-11-13 01:50",0.8,0,2,2,0,1,4,1,2
"2017-11-13 01:51",0.8,3,2,3,2,1,3,3,2
"2017-11-13 01:52",0.8,1,3,3,4,1,2,2,3
"2017-11-13 01:53",0.8,2,3,3,2,3,1,4,4
"2017-11-13 01:54",0.8,4,3,3,3,4,0,1,0
"2017-11-13 01:55",0.8,5,2,1,2,4,1,1,1
"2017-11-13 01:56",0.8,1,4,5,0,2,6,3,4
"2017-11-13 01:57",0.8,1,3,4,1,3,6,2,3
"2017-11-13 01:58",0.8,2,1,1,3,1,0,0,0
"2017-11-13 01:59",0.8,2,6,3,4,1,4,2,3
"2017-11-13 02:00",0.8,1,1,4,0,1,1,1,1
"2017-11-13 02:01",0.857142857143,2,2,4,2,3,1,2,3
"2017-11-13 02:02",0.533333333333,3,1,0,2,2,1,3,2
"2017-11-13 02:03",0.533333333333,1,0,3,2,0,2,2,6
"2017-11-13 02:04",0,7,3,4,1,2,2,2,4
