"date","sp_det","sp_pred_15","sp_pred_30","sp_pred_45","sp_pred_60","sp_pred_75","sp_pred_90","sp_pred_105","sp_pred_120"
"2017-11-13 00:00",59.3764285714,70,70,70,70,70,70,70,70
"2017-11-13 00:01",59.74,70,70,70,70,70,70,70,70
"2017-11-13 00:02",59.74,70,70,70,70,70,70,70,70
"2017-11-13 00:03",59.6506666667,70,70,70,70,70,70,70,70
"2017-11-13 00:04",59.5613333333,70,70,70,70,70,70,70,70
"2017-11-13 00:05",59.472,70,70,70,70,70,70,70,70
"2017-11-13 00:06",59.3826666667,70,70,70,70,70,70,70,70
"2017-11-13 00:07",59.2933333333,70,70,70,70,70,70,70,70
"2017-11-13 00:08",59.204,70,70,70,70,70,70,70,70
"2017-11-13 00:09",59.1146666667,70,70,70,70,70,70,70,70
"2017-11-13 00:10",58.9546666667,70,70,70,70,70,70,70,70
"2017-11-13 00:11",58.7946666667,70,70,70,70,70,70,70,70
"2017-11-13 00:12",58.6346666667,70,70,70,70,70,70,70,70
"2017-11-13 00:13",58.4746666667,70,70,70,70,70,70,70,70
"2017-11-13 00:14",58.3146666667,70,70,70,70,70,70,70,70
"2017-11-13 00:15",58.1546666667,70,70,70,70,70,70,70,70
"2017-11-13 00:16",57.9973333333,70,70,70,70,70,70,70,70
"2017-11-13 00:17",57.7866666667,70,70,70,70,70,70,70,70
"2017-11-13 00:18",57.6806666667,70,70,70,70,70,70,70,70
"2017-11-13 00:19",57.5746666667,70,70,70,70,70,70,70,70
"2017-11-13 00:20",57.4686666667,70,70,70,70,70,70,70,70
"2017-11-13 00:21",57.3626666667,70,70,70,70,70,70,70,70
"2017-11-13 00:22",57.2566666667,70,70,70,70,70,70,70,70
"2017-11-13 00:23",57.1506666667,70,70,70,70,70,70,70,70
"2017-11-13 00:24",57.0446666667,70,70,70,70,70,70,70,70
"2017-11-13 00:25",57.0093333333,70,70,70,70,70,70,70,70
"2017-11-13 00:26",56.974,70,70,70,70,70,70,70,70
"2017-11-13 00:27",56.9386666667,70,70,70,70,70,70,70,70
"2017-11-13 00:28",56.9033333333,70,70,70,70,70,70,70,70
"2017-11-13 00:29",56.868,70,70,70,70,70,70,70,70
"2017-11-13 00:30",56.8326666667,70,70,70,70,70,70,70,70
"2017-11-13 00:31",56.7946666667,70,70,70,70,70,70,70,70
"2017-11-13 00:32",56.81,70,70,70,70,70,70,70,70
"2017-11-13 00:33",56.7653333333,70,70,70,70,70,70,70,70
"2017-11-13 00:34",56.7206666667,70,70,70,70,70,70,70,70
"2017-11-13 00:35",56.676,70,70,70,70,70,70,70,70
"2017-11-13 00:36",56.6313333333,70,70,70,70,70,70,70,70
"2017-11-13 00:37",56.5866666667,70,70,70,70,70,70,70,70
"2017-11-13 00:38",56.542,70,70,70,70,70,70,70,70
"2017-11-13 00:39",56.4973333333,70,70,70,70,70,70,70,70
"2017-11-13 00:40",56.4526666667,70,70,70,70,70,70,70,70
"2017-11-13 00:41",56.408,70,70,70,70,70,70,70,70
"2017-11-13 00:42",56.3633333333,70,70,70,70,70,70,70,70
"2017-11-13 00:43",56.3186666667,70,70,70,70,70,70,70,70
"2017-11-13 00:44",56.274,70,70,70,70,70,70,70,70
"2017-11-13 00:45",56.2293333333,70,70,70,70,70,70,70,70
"2017-11-13 00:46",56.1846666667,70,70,70,70,70,70,70,70
"2017-11-13 00:47",56.14,70,70,70,70,70,70,70,70
"2017-11-13 00:48",56.14,70,70,70,70,70,70,70,70
"2017-11-13 00:49",56.14,70,70,70,70,70,70,70,70
"2017-11-13 00:50",56.14,70,70,70,70,70,70,70,70
"2017-11-13 00:51",56.14,70,70,70,70,70,70,70,70
"2017-11-13 00:52",56.14,70,70,70,70,70,70,70,70
"2017-11-13 00:53",56.14,70,70,70,70,70,70,70,70
"2017-11-13 00:54",56.14,70,70,70,70,70,70,70,70
"2017-11-13 00:55",56.14,70,70,70,70,70,70,70,70
"2017-11-13 00:56",56.14,70,70,70,70,70,70,70,70
"2017-11-13 00:57",56.14,70,70,70,70,70,70,70,70
"2017-11-13 00:58",56.14,70,70,70,70,70,70,70,70
"2017-11-13 00:59",56.14,70,70,70,70,70,70,70,70
"2017-11-13 01:00",56.14,70,70,70,70,70,70,70,70
"2017-11-13 01:01",56.14,70,70,70,70,70,70,70,70
"2017-11-13 01:02",56.0746666667,70,70,70,70,70,70,70,70
"2017-11-13 01:03",56.042,70,70,70,70,70,70,70,70
"2017-11-13 01:04",56.0093333333,70,70,70,70,70,70,70,70
"2017-11-13 01:05",55.9766666667,70,70,70,70,70,70,70,70
"2017-11-13 01:06",55.944,70,70,70,70,70,70,70,70
"2017-11-13 01:07",55.9113333333,70,70,70,70,70,70,70,70
"2017-11-13 01:08",55.8786666667,70,70,70,70,70,70,70,70
"2017-11-13 01:09",55.846,70,70,70,70,70,70,70,70
"2017-11-13 01:10",55.8133333333,70,70,70,70,70,70,70,70
"2017-11-13 01:11",55.7806666667,70,70,70,70,70,70,70,70
"2017-11-13 01:12",55.748,70,70,70,70,70,70,70,70
"2017-11-13 01:13",55.7153333333,70,70,70,70,70,70,70,70
"2017-11-13 01:14",55.7093333333,70,70,70,70,70,70,70,70
"2017-11-13 01:15",55.7033333333,70,70,70,70,70,70,70,70
"2017-11-13 01:16",55.73,70,70,70,70,70,70,70,70
"2017-11-13 01:17",55.7566666667,70,70,70,70,70,70,70,70
"2017-11-13 01:18",55.7833333333,70,70,70,70,70,70,70,70
"2017-11-13 01:19",55.7853333333,70,70,70,70,70,70,70,70
"2017-11-13 01:20",55.7873333333,70,70,70,70,70,70,70,70
"2017-11-13 01:21",55.7893333333,70,70,70,70,70,70,70,70
"2017-11-13 01:22",55.7913333333,70,70,70,70,70,70,70,70
"2017-11-13 01:23",55.908,70,70,70,70,70,70,70,70
"2017-11-13 01:24",56.0246666667,70,70,70,70,70,70,70,70
"2017-11-13 01:25",56.284,70,70,70,70,70,70,70,70
"2017-11-13 01:26",56.4886666667,70,70,70,70,70,70,70,70
"2017-11-13 01:27",56.6933333333,70,70,70,70,70,70,70,70
"2017-11-13 01:28",56.898,70,70,70,70,70,70,70,70
"2017-11-13 01:29",57.0953333333,70,70,70,70,70,70,70,70
"2017-11-13 01:30",57.2926666667,70,70,70,70,70,70,70,70
"2017-11-13 01:31",57.49,70,70,70,70,70,70,70,70
"2017-11-13 01:32",57.6873333333,70,70,70,70,70,70,70,70
"2017-11-13 01:33",57.8846666667,70,70,70,70,70,70,70,70
"2017-11-13 01:34",58.1066666667,70,70,70,70,70,70,70,70
"2017-11-13 01:35",58.3286666667,70,70,70,70,70,70,70,70
"2017-11-13 01:36",58.5506666667,70,70,70,70,70,70,70,70
"2017-11-13 01:37",58.7726666667,70,70,70,70,70,70,70,70
"2017-11-13 01:38",58.88,70,70,70,70,70,70,70,70
"2017-11-13 01:39",58.9873333333,70,70,70,70,70,70,70,70
"2017-11-13 01:40",58.952,70,70,70,70,70,70,70,70
"2017-11-13 01:41",58.9566666667,70,70,70,70,70,70,70,70
"2017-11-13 01:42",58.89,70,70,70,70,70,70,70,70
"2017-11-13 01:43",58.8233333333,70,70,70,70,70,70,70,70
"2017-11-13 01:44",58.7373333333,70,70,70,70,70,70,70,70
