"date","vol_det","vol_pred_15","vol_pred_30","vol_pred_45","vol_pred_60","vol_pred_75","vol_pred_90","vol_pred_105","vol_pred_120"
"2017-11-13 00:00",4.57142857143,5,5,4,5,6,6,5,5
"2017-11-13 00:01",4.26666666667,10,6,6,9,5,7,6,3
"2017-11-13 00:02",4.26666666667,10,9,2,4,4,7,6,5
"2017-11-13 00:03",4.4,5,7,3,4,6,7,7,5
"2017-11-13 00:04",4.8,4,9,8,5,7,6,10,8
"2017-11-13 00:05",4.66666666667,5,8,5,4,4,7,4,8
"2017-11-13 00:06",4.13333333333,4,9,2,7,5,6,7,5
"2017-11-13 00:07",4.26666666667,8,7,7,7,6,5,4,6
"2017-11-13 00:08",4.4,5,2,6,3,6,3,6,7
"2017-11-13 00:09",4.8,6,4,6,6,3,4,5,6
"2017-11-13 00:10",4.4,7,4,4,7,7,10,6,4
"2017-11-13 00:11",4,0,1,0,0,2,1,3,1
"2017-11-13 00:12",5.2,0,3,2,0,4,3,2,2
"2017-11-13 00:13",4.93333333333,5,1,1,2,5,3,3,0
"2017-11-13 00:14",4.4,1,1,1,2,1,1,3,2
"2017-11-13 00:15",4.26666666667,3,1,2,3,2,2,1,2
"2017-11-13 00:16",4.26666666667,3,0,5,2,1,3,2,1
"2017-11-13 00:17",4.26666666667,0,1,2,0,4,1,1,2
"2017-11-13 00:18",4.66666666667,3,1,2,2,3,1,1,2
"2017-11-13 00:19",4.26666666667,1,0,2,1,2,0,1,2
"2017-11-13 00:20",4.93333333333,1,1,5,3,2,1,0,1
"2017-11-13 00:21",5.06666666667,2,1,1,1,1,2,2,2
"2017-11-13 00:22",4.66666666667,1,2,0,2,1,3,2,2
"2017-11-13 00:23",5.2,2,4,1,3,3,1,2,3
"2017-11-13 00:24",4.8,4,1,3,1,0,1,3,2
"2017-11-13 00:25",4.8,1,2,0,1,3,1,1,0
"2017-11-13 00:26",5.06666666667,0,5,4,3,2,4,3,2
"2017-11-13 00:27",4,4,3,7,4,2,4,3,0
"2017-11-13 00:28",4.53333333333,5,4,5,7,2,4,3,3
"2017-11-13 00:29",5.2,6,5,2,4,3,6,4,5
"2017-11-13 00:30",5.46666666667,3,1,4,2,2,4,5,5
"2017-11-13 00:31",5.46666666667,1,2,4,1,5,2,3,3
"2017-11-13 00:32",5.6,5,1,5,1,5,5,4,2
"2017-11-13 00:33",5.06666666667,4,3,3,3,1,3,5,9
"2017-11-13 00:34",5.06666666667,3,3,5,5,5,4,3,8
"2017-11-13 00:35",4.53333333333,2,5,2,3,3,4,3,4
"2017-11-13 00:36",4.53333333333,3,3,4,4,4,4,3,3
"2017-11-13 00:37",4.8,7,3,4,4,3,7,5,2
"2017-11-13 00:38",4.13333333333,4,2,5,2,5,2,9,1
"2017-11-13 00:39",4.53333333333,3,3,4,2,0,1,5,5
"2017-11-13 00:40",4.53333333333,3,4,5,3,5,1,8,4
"2017-11-13 00:41",4.4,4,7,5,2,7,5,2,0
"2017-11-13 00:42",4.13333333333,4,4,5,1,4,3,3,6
"2017-11-13 00:43",3.73333333333,5,4,2,3,4,5,0,6
"2017-11-13 00:44",3.33333333333,5,3,4,5,2,6,3,4
"2017-11-13 00:45",3.06666666667,6,4,2,2,3,4,4,3
"2017-11-13 00:46",3.2,4,3,4,2,6,3,2,3
"2017-11-13 00:47",2.93333333333,6,8,4,2,4,5,5,3
"2017-11-13 00:48",2.8,2,5,5,4,5,5,3,2
"2017-11-13 00:49",3.06666666667,5,2,3,4,4,4,3,2
"2017-11-13 00:50",2.8,5,5,1,2,4,3,6,4
"2017-11-13 00:51",3.06666666667,3,5,5,4,7,2,3,3
"2017-11-13 00:52",2.93333333333,5,3,5,4,4,3,5,2
"2017-11-13 00:53",3.33333333333,3,3,3,4,8,4,3,4
"2017-11-13 00:54",2.93333333333,4,5,6,2,4,4,2,9
"2017-11-13 00:55",2.8,3,2,6,5,3,2,1,7
"2017-11-13 00:56",2.93333333333,5,5,3,1,3,2,7,3
"2017-11-13 00:57",3.2,4,3,3,3,4,4,4,4
"2017-11-13 00:58",3.28571428571,4,5,3,7,2,5,4,2
"2017-11-13 00:59",2.8,1,6,0,3,5,2,7,4
"2017-11-13 01:00",2.85714285714,3,3,4,5,7,2,7,4
"2017-11-13 01:01",2.71428571429,1,3,8,6,5,4,4,2
"2017-11-13 01:02",3.46666666667,4,5,8,5,7,5,3,2
"2017-11-13 01:03",3.6,5,3,3,2,3,2,6,4
"2017-11-13 01:04",3.6,3,1,4,3,3,4,2,2
"2017-11-13 01:05",3.6,5,5,4,0,1,3,4,6
"2017-11-13 01:06",3.46666666667,4,4,4,4,3,3,6,1
"2017-11-13 01:07",3.2,2,2,5,5,2,1,2,3
"2017-11-13 01:08",2.93333333333,2,4,5,3,3,6,3,5
"2017-11-13 01:09",3.06666666667,5,6,1,5,2,4,7,4
"2017-11-13 01:10",3.73333333333,3,6,5,3,3,3,7,5
"2017-11-13 01:11",4,6,5,7,3,3,5,2,2
"2017-11-13 01:12",4.13333333333,2,3,1,2,3,3,4,4
"2017-11-13 01:13",4.13333333333,2,4,3,1,4,3,0,3
"2017-11-13 01:14",4.4,1,3,4,2,3,3,7,0
"2017-11-13 01:15",4.26666666667,3,3,2,4,3,1,3,4
"2017-11-13 01:16",3.6,2,2,3,6,2,3,1,3
"2017-11-13 01:17",3.46666666667,3,2,3,1,1,3,4,6
"2017-11-13 01:18",3.33333333333,4,3,3,4,0,2,3,1
"2017-11-13 01:19",3.2,3,3,0,2,3,0,2,1
"2017-11-13 01:20",3.73333333333,4,5,1,1,1,0,2,0
"2017-11-13 01:21",3.73333333333,3,4,1,0,1,1,3,2
"2017-11-13 01:22",3.73333333333,4,2,6,2,4,0,2,3
"2017-11-13 01:23",3.6,3,2,1,5,2,2,4,3
"2017-11-13 01:24",3.33333333333,3,4,6,0,1,2,2,4
"2017-11-13 01:25",2.66666666667,2,3,1,2,2,3,2,3
"2017-11-13 01:26",2.53333333333,5,3,3,4,2,2,2,2
"2017-11-13 01:27",2.26666666667,4,1,4,2,2,1,3,1
"2017-11-13 01:28",2.26666666667,5,3,3,3,0,5,2,2
"2017-11-13 01:29",2.13333333333,2,2,3,2,2,2,1,1
"2017-11-13 01:30",2.13333333333,3,3,1,0,3,0,5,0
"2017-11-13 01:31",2.26666666667,1,2,1,1,2,4,2,2
"2017-11-13 01:32",2.26666666667,4,4,3,3,1,1,4,4
"2017-11-13 01:33",2.26666666667,4,5,4,4,3,2,3,7
"2017-11-13 01:34",2.13333333333,0,2,2,2,1,4,1,1
"2017-11-13 01:35",1.86666666667,2,2,3,3,3,4,0,3
"2017-11-13 01:36",1.73333333333,1,2,2,1,2,1,2,1
"2017-11-13 01:37",1.86666666667,1,4,4,4,1,4,3,0
"2017-11-13 01:38",2,0,2,5,2,5,4,5,4
"2017-11-13 01:39",2.26666666667,2,4,5,3,6,4,2,1
"2017-11-13 01:40",2.4,4,2,4,2,4,4,4,2
"2017-11-13 01:41",2.13333333333,3,2,1,3,2,5,2,0
"2017-11-13 01:42",2.13333333333,2,1,2,3,3,1,1,1
"2017-11-13 01:43",2.13333333333,1,0,3,2,4,0,2,3
"2017-11-13 01:44",2.26666666667,1,1,0,1,3,3,2,1
"2017-11-13 01:45",2.4,2,2,2,0,2,5,4,3
"2017-11-13 01:46",2.4,4,2,1,2,1,1,3,5
