"date","sp_det","sp_pred_15","sp_pred_30","sp_pred_45","sp_pred_60","sp_pred_75","sp_pred_90","sp_pred_105","sp_pred_120"
"2017-11-13 00:00",77.0021428571,70,70,70,70,70,70,70,70
"2017-11-13 00:01",77.2966666667,70,70,70,70,70,70,70,69.54
"2017-11-13 00:02",77.4966666667,70,70,70,70,70,70,70,70
"2017-11-13 00:03",77.6966666667,70,70,70,70,70,70,70,70
"2017-11-13 00:04",78.0233333333,70,70,70,70,70,70,70,70
"2017-11-13 00:05",78.35,70,70,70,70,70,70,70,70
"2017-11-13 00:06",78.8,70,70,70,70,70,70,70,70
"2017-11-13 00:07",78.9266666667,70,70,70,70,70,70,70,70
"2017-11-13 00:08",79.0533333333,70,70,70,70,70,70,70,70
"2017-11-13 00:09",79.18,70,70,70,70,70,70,70,70
"2017-11-13 00:10",79.3066666667,70,70,70,70,70,70,70,70
"2017-11-13 00:11",79.578,70,70,70,70,70,70,70,70
"2017-11-13 00:12",79.858,70,70,70,70,70,70,70,70
"2017-11-13 00:13",80.138,70,70,70,70,70,70,70,70
"2017-11-13 00:14",80.418,70,70,70,70,70,70,70,70
"2017-11-13 00:15",80.698,70,70,70,70,70,70,70,70
"2017-11-13 00:16",80.978,70,70,70,70,70,70,70,70
"2017-11-13 00:17",81.3973333333,70,70,70,70,70,70,70,70
"2017-11-13 00:18",81.5546666667,70,70,70,70,70,70,70,70
"2017-11-13 00:19",81.5853333333,70,70,70,70,70,70,70,70
"2017-11-13 00:20",81.616,70,70,70,70,70,70,70,70
"2017-11-13 00:21",81.6466666667,70,70,70,70,70,70,70,70
"2017-11-13 00:22",81.7646666667,70,70,70,70,70,70,70,70
"2017-11-13 00:23",81.8826666667,70,70,70,70,70,70,70,70
"2017-11-13 00:24",82.0006666667,70,70,70,70,70,70,70,70
"2017-11-13 00:25",82.1186666667,70,70,70,70,70,70,70,70
"2017-11-13 00:26",82.092,70,70,70,70,70,70,70,70
"2017-11-13 00:27",82.0566666667,70,70,70,70,70,70,70,70
"2017-11-13 00:28",82.0213333333,70,70,70,70,70,70,70,70
"2017-11-13 00:29",81.468,70,70,70,70,70,70,70,70
"2017-11-13 00:30",80.9146666667,70,70,70,70,70,70,70,70
"2017-11-13 00:31",80.3613333333,70,70,70,70,70,70,70,70
"2017-11-13 00:32",79.6686666667,70,70,70,70,70,70,70,70
"2017-11-13 00:33",79.238,70,70,70,70,70,70,70,70
"2017-11-13 00:34",78.8073333333,70,70,70,70,70,70,70,70
"2017-11-13 00:35",78.3766666667,70,70,70,70,70,70,70,70
"2017-11-13 00:36",77.946,70,70,70,70,70,70,70,70
"2017-11-13 00:37",77.428,70,70,70,70,70,70,70,70
"2017-11-13 00:38",76.91,70,70,70,70,70,70,70,70
"2017-11-13 00:39",76.392,70,70,70,70,70,70,70,70
"2017-11-13 00:40",75.874,70,70,70,70,70,70,70,70
"2017-11-13 00:41",75.356,70,70,70,70,70,70,70,70
"2017-11-13 00:42",75.0326666667,70,70,70,70,70,70,70,70
"2017-11-13 00:43",74.7093333333,70,70,70,70,70,70,70,70
"2017-11-13 00:44",74.904,70,70,70,70,70,70,70,70
"2017-11-13 00:45",75.0986666667,70,70,70,70,70,70,70,70
"2017-11-13 00:46",75.2933333333,70,70,70,70,70,70,70,70
"2017-11-13 00:47",75.488,70,70,70,70,70,70,70,70
"2017-11-13 00:48",75.6826666667,70,70,70,70,70,70,70,70
"2017-11-13 00:49",75.8773333333,70,70,70,70,70,70,70,70
"2017-11-13 00:50",76.072,70,70,70,70,70,70,70,70
"2017-11-13 00:51",76.296,70,70,70,70,70,70,70,70
"2017-11-13 00:52",76.52,70,70,70,70,70,70,70,70
"2017-11-13 00:53",76.744,70,70,70,70,70,70,70,70
"2017-11-13 00:54",77.19,70,70,70,70,70,70,70,70
"2017-11-13 00:55",77.636,70,70,70,70,69.54,70,70,70
"2017-11-13 00:56",78.082,70,70,70,70,70,70,70,70
"2017-11-13 00:57",78.3333333333,70,70,70,70,70,70,70,70
"2017-11-13 00:58",78.4114285714,70,70,70,70,70,70,70,70
"2017-11-13 00:59",78.836,70,70,70,70,70,70,70,70
"2017-11-13 01:00",78.95,70,70,70,70,70,70,70,70
"2017-11-13 01:01",79.2192857143,70,70,70,70,70,70,70,70
"2017-11-13 01:02",77.89,70,70,70,70,70,70,70,70
"2017-11-13 01:03",77.2913333333,70,70,70,70,70,70,70,70
"2017-11-13 01:04",76.6926666667,70,70,70,70,70,70,70,70
"2017-11-13 01:05",76.094,70,70,70,70,70,70,70,70
"2017-11-13 01:06",75.466,70,70,70,70,70,70,70,70
"2017-11-13 01:07",74.838,70,70,70,70,70,70,70,70
"2017-11-13 01:08",74.21,70,70,70,70,70,70,70,70
"2017-11-13 01:09",73.36,70,70,70,70,70,70,70,70
"2017-11-13 01:10",72.51,70,70,70,70,70,70,70,70
"2017-11-13 01:11",72.072,70,70,70,70,70,70,70,70
"2017-11-13 01:12",71.634,70,70,70,70,70,70,70,70
"2017-11-13 01:13",71.272,70,70,70,70,70,70,70,70
"2017-11-13 01:14",70.91,70,70,70,70,70,70,70,70
"2017-11-13 01:15",70.548,70,70,70,70,70,70,70,70
"2017-11-13 01:16",71.036,70,70,70,70,70,70,70,70
"2017-11-13 01:17",71.524,70,70,70,70,70,70,70,70
"2017-11-13 01:18",72.012,70,70,70,70,70,70,70,70
"2017-11-13 01:19",72.5,70,70,70,70,70,70,70,70
"2017-11-13 01:20",72.988,70,70,70,70,70,70,70,70
"2017-11-13 01:21",73.476,70,70,70,70,70,70,70,70
"2017-11-13 01:22",73.964,70,70,70,70,70,70,70,70
"2017-11-13 01:23",74.452,70,70,70,70,70,70,70,70
"2017-11-13 01:24",74.94,70,70,70,70,70,70,70,70
"2017-11-13 01:25",75.428,70,70,70,70,70,70,70,70
"2017-11-13 01:26",75.504,70,70,70,70,70,70,70,70
"2017-11-13 01:27",75.58,70,70,70,70,70,70,70,70
"2017-11-13 01:28",75.58,70,70,70,70,70,70,70,70
"2017-11-13 01:29",75.58,70,70,70,70,70,70,70,70
"2017-11-13 01:30",75.704,70,70,70,70,70,70,70,70
"2017-11-13 01:31",75.828,70,70,70,70,70,70,70,70
"2017-11-13 01:32",75.952,70,70,70,70,70,70,70,70
"2017-11-13 01:33",76.076,70,70,70,70,70,70,70,70
"2017-11-13 01:34",76.2,70,70,70,70,70,70,70,70
"2017-11-13 01:35",76.324,70,70,70,70,70,70,70,70
"2017-11-13 01:36",76.448,70,70,70,70,70,70,70,70
"2017-11-13 01:37",76.572,70,70,70,70,70,70,70,70
"2017-11-13 01:38",76.696,70,70,70,70,70,70,70,70
"2017-11-13 01:39",76.82,70,70,70,70,70,70,70,70
"2017-11-13 01:40",76.944,70,70,70,70,70,70,70,70
"2017-11-13 01:41",77.068,70,70,70,70,70,70,70,70
"2017-11-13 01:42",77.192,70,70,70,70,70,70,70,70
"2017-11-13 01:43",77.316,70,70,70,70,70,70,70,70
"2017-11-13 01:44",77.4993333333,70,70,70,70,70,70,70,70
"2017-11-13 01:45",77.5586666667,70,70,70,70,70,70,70,70
