"date","vol_det","vol_pred_15","vol_pred_30","vol_pred_45","vol_pred_60","vol_pred_75","vol_pred_90","vol_pred_105","vol_pred_120"
"2017-11-13 00:00",7,19,18,22,16,19,16,18,20
"2017-11-13 00:01",7.6,13,21,17,24,30,15,16,14
"2017-11-13 00:02",7.06666666667,15,11,19,26,14,12,13,24
"2017-11-13 00:03",7.33333333333,16,24,19,17,17,18,18,13
"2017-11-13 00:04",7.2,24,13,16,21,18,15,16,18
"2017-11-13 00:05",7.73333333333,25,12,21,17,19,22,20,14
"2017-11-13 00:06",7.73333333333,21,21,14,18,12,21,18,21
"2017-11-13 00:07",7.73333333333,21,16,15,15,12,19,16,16
"2017-11-13 00:08",8,16,20,21,16,19,11,17,24
"2017-11-13 00:09",7.73333333333,15,10,16,19,30,12,17,14
"2017-11-13 00:10",7.2,16,23,19,16,20,12,19,17
"2017-11-13 00:11",6.66666666667,18,20,13,19,19,15,19,12
"2017-11-13 00:12",6.93333333333,9,9,15,12,13,16,8,19
"2017-11-13 00:13",6.8,12,13,15,13,14,17,9,18
"2017-11-13 00:14",7.33333333333,18,13,11,13,13,21,19,16
"2017-11-13 00:15",7.6,16,14,15,11,13,12,17,21
"2017-11-13 00:16",7.33333333333,16,13,13,13,17,14,11,11
"2017-11-13 00:17",7.46666666667,13,13,15,10,13,15,20,12
"2017-11-13 00:18",7.73333333333,13,14,8,11,18,11,18,15
"2017-11-13 00:19",8.13333333333,16,14,14,8,14,14,12,11
"2017-11-13 00:20",8.13333333333,12,7,14,18,17,10,9,18
"2017-11-13 00:21",8.13333333333,10,20,26,11,9,14,7,7
"2017-11-13 00:22",8,11,17,13,13,9,10,10,13
"2017-11-13 00:23",8,21,13,6,14,15,14,14,15
"2017-11-13 00:24",8.4,15,9,10,12,10,4,13,9
"2017-11-13 00:25",8.53333333333,13,12,15,13,10,13,15,8
"2017-11-13 00:26",8.4,10,11,16,12,12,18,16,12
"2017-11-13 00:27",8,12,13,16,13,15,16,14,10
"2017-11-13 00:28",8.13333333333,8,12,13,11,14,17,16,19
"2017-11-13 00:29",7.73333333333,12,16,10,12,12,13,11,5
"2017-11-13 00:30",7.46666666667,10,5,11,11,8,6,19,9
"2017-11-13 00:31",6.8,11,13,16,13,7,10,15,12
"2017-11-13 00:32",7.33333333333,13,10,7,11,11,10,8,15
"2017-11-13 00:33",6.66666666667,8,5,13,9,12,13,14,15
"2017-11-13 00:34",7.06666666667,11,8,11,18,16,9,21,14
"2017-11-13 00:35",6.53333333333,7,19,12,12,11,8,18,10
