"date","sp_det","sp_pred_15","sp_pred_30","sp_pred_45","sp_pred_60","sp_pred_75","sp_pred_90","sp_pred_105","sp_pred_120"
"2017-11-13 00:00",65.6435714286,65,65,65,65,65,65,65,65
"2017-11-13 00:01",65.4986666667,65,65,65,65,65,65,65,65
"2017-11-13 00:02",65.406,65,65,65,65,65,65,65,65
"2017-11-13 00:03",65.334,65,65,65,65,65,65,65,65
"2017-11-13 00:04",65.2593333333,65,65,65,65,65,65,65,65
"2017-11-13 00:05",65.306,65,65,65,65,65,65,65,65
"2017-11-13 00:06",65.35,65,65,65,65,65,65,65,65
"2017-11-13 00:07",65.3986666667,65,65,65,65,65,65,65,65
"2017-11-13 00:08",65.464,65,65,65,65,65,65,65,65
"2017-11-13 00:09",65.516,65,65,65,65,65,65,65,65
"2017-11-13 00:10",65.5446666667,65,65,65,65,65,65,65,65
"2017-11-13 00:11",65.5633333333,65,65,65,65,65,65,65,65
"2017-11-13 00:12",65.5766666667,65,65,65,65,65,65,65,65
"2017-11-13 00:13",65.578,65,65,65,65,65,65,65,65
"2017-11-13 00:14",65.6126666667,65,65,65,65,65,65,65,65
"2017-11-13 00:15",65.7086666667,65,65,65,65,65,65,65,65
"2017-11-13 00:16",65.77,65,65,65,65,65,65,65,65
"2017-11-13 00:17",65.8086666667,65,65,65,65,65,65,65,65
"2017-11-13 00:18",65.838,65,65,65,65,65,65,65,65
"2017-11-13 00:19",65.8673333333,65,65,65,65,65,65,65,65
"2017-11-13 00:20",65.8153333333,65,65,65,65,65,65,65,65
"2017-11-13 00:21",65.77,65,65,65,65,65,65,65,65
"2017-11-13 00:22",65.7713333333,65,65,65,65,65,65,65,65
"2017-11-13 00:23",65.7653333333,65,65,65,65,65,65,65,65
"2017-11-13 00:24",65.7253333333,65,65,65,65,65,65,65,65
"2017-11-13 00:25",65.7193333333,65,65,65,65,65,65,65,65
"2017-11-13 00:26",65.748,65,65,65,65,65,65,65,65
"2017-11-13 00:27",65.76,65,65,65,65,65,65,65,65
"2017-11-13 00:28",65.7813333333,65,65,65,65,65,65,65,65
"2017-11-13 00:29",65.7853333333,65,65,65,65,65,65,65,65
"2017-11-13 00:30",65.7466666667,65,65,65,65,65,65,65,65
"2017-11-13 00:31",65.73,65,65,65,65,65,65,65,65
"2017-11-13 00:32",65.722,65,65,65,65,65,65,65,65
"2017-11-13 00:33",65.7186666667,65,65,65,65,65,65,65,65
"2017-11-13 00:34",65.6713333333,65,65,65,65,65,65,65,65
"2017-11-13 00:35",65.6753333333,65,65,65,65,65,65,65,65
"2017-11-13 00:36",65.7013333333,65,65,65,65,65,65,65,65
"2017-11-13 00:37",65.7006666667,65,65,65,65,65,65,65,65
"2017-11-13 00:38",65.7,65,65,65,65,65,65,65,65
