"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min","rel_error_sp_15min","rel_error_sp_30min","rel_error_sp_45min","rel_error_sp_60min","rel_error_sp_75min","rel_error_sp_90min","rel_error_sp_105min","rel_error_sp_120min"
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
