"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min","rel_error_sp_15min","rel_error_sp_30min","rel_error_sp_45min","rel_error_sp_60min","rel_error_sp_75min","rel_error_sp_90min","rel_error_sp_105min","rel_error_sp_120min"
-6.7857142857,-6.7857142857,-6.7857142857,-6.7857142857,-6.7857142857,-6.7857142857,-6.7857142857,-6.7857142857,-9.45273631838994,-9.45273631838994,-9.45273631838994,-9.45273631838994,-9.45273631838994,-9.45273631838994,-9.45273631838994,-9.45273631838994
-7.0653333333,-7.0653333333,-7.0653333333,-7.0653333333,-7.0653333333,-7.0653333333,-7.0653333333,-7.0653333333,-9.80406668019289,-9.80406668019289,-9.80406668019289,-9.80406668019289,-9.80406668019289,-9.80406668019289,-9.80406668019289,-9.80406668019289
-7.16200000000001,-7.16200000000001,-7.16200000000001,-7.16200000000001,-7.16200000000001,-7.16200000000001,-7.16200000000001,-7.16200000000001,-9.92489121698402,-9.92489121698402,-9.92489121698402,-9.92489121698402,-9.92489121698402,-9.92489121698402,-9.92489121698402,-9.92489121698402
-7.2666666667,-7.2666666667,-7.2666666667,-7.2666666667,-7.2666666667,-7.2666666667,-7.2666666667,-7.2666666667,-10.055350553547,-10.055350553547,-10.055350553547,-10.055350553547,-10.055350553547,-10.055350553547,-10.055350553547,-10.055350553547
-7.2133333333,-7.2133333333,-7.2133333333,-7.2133333333,-7.2133333333,-7.2133333333,-7.2133333333,-7.2133333333,-9.9889217134001,-9.9889217134001,-9.9889217134001,-9.9889217134001,-9.9889217134001,-9.9889217134001,-9.9889217134001,-9.9889217134001
-7.21533333329999,-7.21533333329999,-7.21533333329999,-7.21533333329999,-7.21533333329999,-7.21533333329999,-7.21533333329999,-7.21533333329999,-9.99141456565548,-9.99141456565548,-9.99141456565548,-9.99141456565548,-9.99141456565548,-9.99141456565548,-9.99141456565548,-9.99141456565548
-7.1166666667,-7.1166666667,-7.1166666667,-7.1166666667,-7.1166666667,-7.1166666667,-7.1166666667,-7.1166666667,-9.86826900859262,-9.86826900859262,-9.86826900859262,-9.86826900859262,-9.86826900859262,-9.86826900859262,-9.86826900859262,-9.86826900859262
-7.16,-7.16,-7.16,-7.16,-7.16,-7.16,-7.16,-7.16,-9.92239467849224,-9.92239467849224,-9.92239467849224,-9.92239467849224,-9.92239467849224,-9.92239467849224,-9.92239467849224,-9.92239467849224
-7.164,-7.164,-7.164,-7.164,-7.164,-7.164,-7.164,-7.164,-9.9273876170944,-9.9273876170944,-9.9273876170944,-9.9273876170944,-9.9273876170944,-9.9273876170944,-9.9273876170944,-9.9273876170944
-7.2606666667,-7.2606666667,-7.2606666667,-7.2606666667,-7.2606666667,-7.2606666667,-7.2606666667,-7.2606666667,-10.0478822042835,-10.0478822042835,-10.0478822042835,-10.0478822042835,-10.0478822042835,-10.0478822042835,-10.0478822042835,-10.0478822042835
-7.31933333329999,-7.31933333329999,-7.31933333329999,-7.31933333329999,-7.31933333329999,-7.31933333329999,-7.31933333329999,-7.31933333329999,-10.1208528839269,-10.1208528839269,-10.1208528839269,-10.1208528839269,-10.1208528839269,-10.1208528839269,-10.1208528839269,-10.1208528839269
-7.27,-7.27,-7.27,-7.27,-7.27,-7.27,-7.27,-7.27,-10.059499100595,-10.059499100595,-10.059499100595,-10.059499100595,-10.059499100595,-10.059499100595,-10.059499100595,-10.059499100595
-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-9.97229916897507,-9.97229916897507,-9.97229916897507,-9.97229916897507,-9.97229916897507,-9.97229916897507,-9.97229916897507,-9.97229916897507
-7.1113333333,-7.1113333333,-7.1113333333,-7.1113333333,-7.1113333333,-7.1113333333,-7.1113333333,-7.1113333333,-9.86160289178301,-9.86160289178301,-9.86160289178301,-9.86160289178301,-9.86160289178301,-9.86160289178301,-9.86160289178301,-9.86160289178301
-6.992,-6.992,-6.992,-6.992,-6.992,-6.992,-6.992,-6.992,-9.71219024336038,-9.71219024336038,-9.71219024336038,-9.71219024336038,-9.71219024336038,-9.71219024336038,-9.71219024336038,-9.71219024336038
