"abs_error_vol_15min","abs_error_vol_30min","abs_error_vol_45min","abs_error_vol_60min","abs_error_vol_75min","abs_error_vol_90min","abs_error_vol_105min","abs_error_vol_120min","rel_error_vol_15min","rel_error_vol_30min","rel_error_vol_45min","rel_error_vol_60min","rel_error_vol_75min","rel_error_vol_90min","rel_error_vol_105min","rel_error_vol_120min"
0.4,1.4,1.4,2.4,4.4,1.4,2.4,2.4,15.3846153846154,53.8461538461538,53.8461538461538,92.3076923076923,169.230769230769,53.8461538461538,92.3076923076923,92.3076923076923
0.4,2.4,2.4,1.4,-0.6,1.4,2.4,0.4,15.3846153846154,92.3076923076923,92.3076923076923,53.8461538461538,-23.0769230769231,53.8461538461538,92.3076923076923,15.3846153846154
1.4,-0.6,0.4,2.4,0.4,2.4,3.4,4.4,53.8461538461538,-23.0769230769231,15.3846153846154,92.3076923076923,15.3846153846154,92.3076923076923,130.769230769231,169.230769230769
0.4,-0.6,2.4,2.4,1.4,1.4,1.4,1.4,15.3846153846154,-23.0769230769231,92.3076923076923,92.3076923076923,53.8461538461538,53.8461538461538,53.8461538461538,53.8461538461538
6.4,2.4,3.4,1.4,3.4,-0.6,2.4,2.4,246.153846153846,92.3076923076923,130.769230769231,53.8461538461538,130.769230769231,-23.0769230769231,92.3076923076923,92.3076923076923
1.6,2.6,-0.4,0.6,1.6,-1.4,-0.4,-1.4,47.0588235294118,76.4705882352941,-11.7647058823529,17.6470588235294,47.0588235294118,-41.1764705882353,-11.7647058823529,-41.1764705882353
-2.4,3.6,0.6,2.6,1.6,1.6,-1.4,1.6,-70.5882352941177,105.882352941176,17.6470588235294,76.4705882352941,47.0588235294118,47.0588235294118,-41.1764705882353,47.0588235294118
1.6,4.6,1.6,2.6,3.6,4.6,3.6,-0.4,47.0588235294118,135.294117647059,47.0588235294118,76.4705882352941,105.882352941176,135.294117647059,105.882352941176,-11.7647058823529
4.6,0.6,-0.4,-0.4,2.6,3.6,0.6,1.6,135.294117647059,17.6470588235294,-11.7647058823529,-11.7647058823529,76.4705882352941,105.882352941176,17.6470588235294,47.0588235294118
1.6,-0.4,4.6,4.6,-0.4,0.6,-1.4,1.6,47.0588235294118,-11.7647058823529,135.294117647059,135.294117647059,-11.7647058823529,17.6470588235294,-41.1764705882353,47.0588235294118
2.6,-1.4,1.6,-1.4,1.6,2.6,2.6,-1.4,108.333333333333,-58.3333333333333,66.6666666666667,-58.3333333333333,66.6666666666667,108.333333333333,108.333333333333,-58.3333333333333
0.6,1.6,2.6,0.6,0.6,1.6,-0.4,0.6,25,66.6666666666667,108.333333333333,25,25,66.6666666666667,-16.6666666666667,25
1.6,1.6,2.6,1.6,1.6,1.6,1.6,0.6,66.6666666666667,66.6666666666667,108.333333333333,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,25
2.6,4.6,3.6,1.6,-0.4,1.6,3.6,0.6,108.333333333333,191.666666666667,150,66.6666666666667,-16.6666666666667,66.6666666666667,150,25
0.6,-0.4,2.6,3.6,2.6,1.6,2.6,-0.4,25,-16.6666666666667,108.333333333333,150,108.333333333333,66.6666666666667,108.333333333333,-16.6666666666667
1.6,1.6,2.6,0.6,4.6,3.6,0.6,0.6,114.285714285714,114.285714285714,185.714285714286,42.8571428571429,328.571428571429,257.142857142857,42.8571428571429,42.8571428571429
-0.4,1.6,0.6,0.6,-0.4,1.6,3.6,1.6,-28.5714285714286,114.285714285714,42.8571428571429,42.8571428571429,-28.5714285714286,114.285714285714,257.142857142857,114.285714285714
3.6,2.6,0.6,2.6,1.6,2.6,1.6,1.6,257.142857142857,185.714285714286,42.8571428571429,185.714285714286,114.285714285714,185.714285714286,114.285714285714,114.285714285714
2.6,-0.4,5.6,2.6,2.6,4.6,-0.4,1.6,185.714285714286,-28.5714285714286,400,185.714285714286,185.714285714286,328.571428571429,-28.5714285714286,114.285714285714
3.6,2.6,1.6,1.6,0.6,0.6,1.6,5.6,257.142857142857,185.714285714286,114.285714285714,114.285714285714,42.8571428571429,42.8571428571429,114.285714285714,400
1,4,2,2,6,1,1,5,100,400,200,200,600,100,100,500
5,1,3,6,0,2,1,2,500,100,300,600,0,200,100,200
2,2,2,6,1,0,4,2,200,200,200,600,100,0,400,200
3,2,3,5,2,3,3,2,300,200,300,500,200,300,300,200
3,2,3,9,4,1,0,2,300,200,300,900,400,100,0,200
2,0,1,2,0,0,0,4,100,0,50,100,0,0,0,200
-1,-1,-1,4,1,-1,-2,1,-50,-50,-50,200,50,-50,-100,50
3,0,0,1,0,0,1,1,150,0,0,50,0,0,50,50
2,2,4,-1,0,0,1,3,100,100,200,-50,0,0,50,150
-2,0,3,0,0,0,2,1,-100,0,150,0,0,0,100,50
1.2,6.2,0.2,0.2,-1.8,-0.8,-0.8,0.2,66.6666666666667,344.444444444444,11.1111111111111,11.1111111111111,-100,-44.4444444444444,-44.4444444444444,11.1111111111111
3.2,1.2,1.2,3.2,1.2,1.2,3.2,-0.8,177.777777777778,66.6666666666667,66.6666666666667,177.777777777778,66.6666666666667,66.6666666666667,177.777777777778,-44.4444444444444
1.2,1.2,1.2,0.2,-0.8,0.2,-0.8,3.2,66.6666666666667,66.6666666666667,66.6666666666667,11.1111111111111,-44.4444444444444,11.1111111111111,-44.4444444444444,177.777777777778
1.2,0.2,1.2,0.2,1.2,0.2,1.2,0.2,66.6666666666667,11.1111111111111,66.6666666666667,11.1111111111111,66.6666666666667,11.1111111111111,66.6666666666667,11.1111111111111
2.2,0.2,0.2,-0.8,-0.8,2.2,0.2,2.2,122.222222222222,11.1111111111111,11.1111111111111,-44.4444444444444,-44.4444444444444,122.222222222222,11.1111111111111,122.222222222222
-1.4,-1.4,0.6,0.6,-2.4,0.6,-0.4,2.6,-58.3333333333333,-58.3333333333333,25,25,-100,25,-16.6666666666667,108.333333333333
2.6,-2.4,-0.4,2.6,-1.4,-0.4,0.6,2.6,108.333333333333,-100,-16.6666666666667,108.333333333333,-58.3333333333333,-16.6666666666667,25,108.333333333333
0.6,-0.4,4.6,1.6,1.6,1.6,2.6,-0.4,25,-16.6666666666667,191.666666666667,66.6666666666667,66.6666666666667,66.6666666666667,108.333333333333,-16.6666666666667
0.6,1.6,0.6,-0.4,-0.4,0.6,-0.4,-2.4,25,66.6666666666667,25,-16.6666666666667,-16.6666666666667,25,-16.6666666666667,-100
-1.4,0.6,-0.4,0.6,2.6,-0.4,-1.4,-0.4,-58.3333333333333,25,-16.6666666666667,25,108.333333333333,-16.6666666666667,-58.3333333333333,-16.6666666666667
