"abs_error_vol_15min","abs_error_vol_30min","abs_error_vol_45min","abs_error_vol_60min","abs_error_vol_75min","abs_error_vol_90min","abs_error_vol_105min","abs_error_vol_120min","rel_error_vol_15min","rel_error_vol_30min","rel_error_vol_45min","rel_error_vol_60min","rel_error_vol_75min","rel_error_vol_90min","rel_error_vol_105min","rel_error_vol_120min"
1.4,0.4,1.4,3.4,3.4,3.4,-0.6,6.4,53.8461538461538,15.3846153846154,53.8461538461538,130.769230769231,130.769230769231,130.769230769231,-23.0769230769231,246.153846153846
2.4,2.4,2.4,0.4,0.4,0.4,3.4,-0.6,92.3076923076923,92.3076923076923,92.3076923076923,15.3846153846154,15.3846153846154,15.3846153846154,130.769230769231,-23.0769230769231
0.4,-0.6,3.4,0.4,0.4,-1.6,0.4,2.4,15.3846153846154,-23.0769230769231,130.769230769231,15.3846153846154,15.3846153846154,-61.5384615384615,15.3846153846154,92.3076923076923
-0.6,3.4,2.4,3.4,-0.6,2.4,0.4,-0.6,-23.0769230769231,130.769230769231,92.3076923076923,130.769230769231,-23.0769230769231,92.3076923076923,15.3846153846154,-23.0769230769231
0.4,1.4,2.4,0.4,-1.6,5.4,1.4,-0.6,15.3846153846154,53.8461538461538,92.3076923076923,15.3846153846154,-61.5384615384615,207.692307692308,53.8461538461538,-23.0769230769231
-0.4,0.6,1.6,3.6,0.6,-0.4,-1.4,5.6,-16.6666666666667,25,66.6666666666667,150,25,-16.6666666666667,-58.3333333333333,233.333333333333
2.6,1.6,2.6,0.6,2.6,-1.4,-1.4,0.6,108.333333333333,66.6666666666667,108.333333333333,25,108.333333333333,-58.3333333333333,-58.3333333333333,25
0.6,2.6,3.6,2.6,0.6,1.6,3.6,-0.4,25,108.333333333333,150,108.333333333333,25,66.6666666666667,150,-16.6666666666667
5.6,1.6,2.6,2.6,-0.4,0.6,0.6,2.6,233.333333333333,66.6666666666667,108.333333333333,108.333333333333,-16.6666666666667,25,25,108.333333333333
0.6,2.6,3.6,2.6,0.6,-0.4,-0.4,2.6,25,108.333333333333,150,108.333333333333,25,-16.6666666666667,-16.6666666666667,108.333333333333
0.4,3.4,-1.6,2.4,3.4,3.4,3.4,0.4,25,212.5,-100,150,212.5,212.5,212.5,25
-1.6,1.4,1.4,1.4,2.4,2.4,4.4,6.4,-100,87.5,87.5,87.5,150,150,275,400
-0.6,0.4,2.4,-0.6,6.4,1.4,3.4,0.4,-37.5,25,150,-37.5,400,87.5,212.5,25
0.4,2.4,5.4,2.4,-0.6,2.4,0.4,0.4,25,150,337.5,150,-37.5,150,25,25
2.4,3.4,3.4,0.4,2.4,4.4,4.4,0.4,150,212.5,212.5,25,150,275,275,25
3,4,4,3,2,3,6,6,150,200,200,150,100,150,300,300
4,4,2,-1,-2,1,2,9,200,200,100,-50,-100,50,100,450
1,4,-1,1,1,2,-1,2,50,200,-50,50,50,100,-50,100
1,0,0,1,3,3,1,0,50,0,0,50,150,150,50,0
0,5,2,2,3,6,5,1,0,250,100,100,150,300,250,50
0,0,-1,-3,-3,-3,1,-1,0,0,-25,-75,-75,-75,25,-25
-2,-4,-2,-1,-2,-2,-1,-3,-50,-100,-50,-25,-50,-50,-25,-75
-1,-2,4,0,-1,0,-3,-2,-25,-50,100,0,-25,0,-75,-50
2,2,2,-3,-1,1,-1,-1,50,50,50,-75,-25,25,-25,-25
-1,-1,-1,4,-2,-1,1,0,-25,-25,-25,100,-50,-25,25,0
1.2,2.2,4.2,2.2,1.2,4.2,4.2,1.2,150,275,525,275,150,525,525,150
1.2,0.2,0.2,1.2,0.2,1.2,4.2,-0.8,150,25,25,150,25,150,525,-100
2.2,6.2,3.2,6.2,2.2,3.2,2.2,-0.8,275,775,400,775,275,400,275,-100
6.2,1.2,-0.8,2.2,4.2,1.2,2.2,3.2,775,150,-100,275,525,150,275,400
1.2,3.2,2.2,2.2,1.2,1.2,1.2,2.2,150,400,275,275,150,150,150,275
0.2,-0.8,-0.8,3.2,-1.8,-2.8,5.2,0.2,7.14285714285715,-28.5714285714286,-28.5714285714286,114.285714285714,-64.2857142857143,-100,185.714285714286,7.14285714285715
0.2,-0.8,1.2,1.2,0.2,-0.8,-1.8,3.2,7.14285714285715,-28.5714285714286,42.8571428571429,42.8571428571429,7.14285714285715,-28.5714285714286,-64.2857142857143,114.285714285714
0.2,-2.8,-1.8,-0.8,-2.8,-2.8,-1.8,2.2,7.14285714285715,-100,-64.2857142857143,-28.5714285714286,-100,-100,-64.2857142857143,78.5714285714286
-1.8,0.2,-0.8,1.2,0.2,-1.8,-1.8,-0.8,-64.2857142857143,7.14285714285715,-28.5714285714286,42.8571428571429,7.14285714285715,-64.2857142857143,-64.2857142857143,-28.5714285714286
0.2,-0.8,-0.8,-0.8,-2.8,-0.8,-1.8,-2.8,7.14285714285715,-28.5714285714286,-28.5714285714286,-28.5714285714286,-100,-28.5714285714286,-64.2857142857143,-100
0.2,-1.8,3.2,0.2,-0.8,-0.8,-0.8,0.2,11.1111111111111,-100,177.777777777778,11.1111111111111,-44.4444444444444,-44.4444444444444,-44.4444444444444,11.1111111111111
2.2,0.2,0.2,0.2,1.2,-0.8,4.2,1.2,122.222222222222,11.1111111111111,11.1111111111111,11.1111111111111,66.6666666666667,-44.4444444444444,233.333333333333,66.6666666666667
-1.8,-0.8,0.2,0.2,0.2,1.2,-0.8,0.2,-100,-44.4444444444444,11.1111111111111,11.1111111111111,11.1111111111111,66.6666666666667,-44.4444444444444,11.1111111111111
-0.8,-1.8,1.2,1.2,1.2,0.2,0.2,-0.8,-44.4444444444444,-100,66.6666666666667,66.6666666666667,66.6666666666667,11.1111111111111,11.1111111111111,-44.4444444444444
1.2,-1.8,0.2,-0.8,-0.8,1.2,-1.8,-0.8,66.6666666666667,-100,11.1111111111111,-44.4444444444444,-44.4444444444444,66.6666666666667,-100,-44.4444444444444
0.2,4.2,1.2,2.2,0.2,1.2,2.2,2.2,25,525,150,275,25,150,275,275
0.2,2.2,0.2,1.2,2.2,0.2,3.2,1.2,25,275,25,150,275,25,400,150
2.2,-0.8,-0.8,2.2,2.2,-0.8,1.2,1.2,275,-100,-100,275,275,-100,150,150
3.2,0.2,0.2,0.2,2.2,3.2,1.2,3.2,400,25,25,25,275,400,150,400
3.2,1.2,1.2,3.2,2.2,2.2,2.2,-0.8,400,150,150,400,275,275,275,-100
-0.4,-1.4,-0.4,-0.4,-1.4,-2.4,-1.4,-1.4,-16.6666666666667,-58.3333333333333,-16.6666666666667,-16.6666666666667,-58.3333333333333,-100,-58.3333333333333,-58.3333333333333
2.6,-0.4,-2.4,0.6,-1.4,1.6,0.6,-0.4,108.333333333333,-16.6666666666667,-100,25,-58.3333333333333,66.6666666666667,25,-16.6666666666667
-1.4,-0.4,-1.4,-2.4,1.6,2.6,-0.4,-1.4,-58.3333333333333,-16.6666666666667,-58.3333333333333,-100,66.6666666666667,108.333333333333,-16.6666666666667,-58.3333333333333
-0.4,1.6,-1.4,-2.4,-1.4,1.6,-0.4,0.6,-16.6666666666667,66.6666666666667,-58.3333333333333,-100,-58.3333333333333,66.6666666666667,-16.6666666666667,25
1.6,1.6,-0.4,0.6,-1.4,-1.4,-1.4,-0.4,66.6666666666667,66.6666666666667,-16.6666666666667,25,-58.3333333333333,-58.3333333333333,-58.3333333333333,-16.6666666666667
-1.2,-1.2,-0.2,-1.2,-0.2,2.8,-0.2,2.8,-100,-100,-16.6666666666667,-100,-16.6666666666667,233.333333333333,-16.6666666666667,233.333333333333
0.8,3.8,-1.2,1.8,-1.2,-1.2,0.8,0.8,66.6666666666667,316.666666666667,-100,150,-100,-100,66.6666666666667,66.6666666666667
1.8,-0.2,0.8,-0.2,-1.2,0.8,-0.2,1.8,150,-16.6666666666667,66.6666666666667,-16.6666666666667,-100,66.6666666666667,-16.6666666666667,150
3.8,1.8,-1.2,-1.2,-1.2,1.8,1.8,1.8,316.666666666667,150,-100,-100,-100,150,150,150
-0.2,1.8,0.8,-0.2,1.8,0.8,-0.2,-0.2,-16.6666666666667,150,66.6666666666667,-16.6666666666667,150,66.6666666666667,-16.6666666666667,-16.6666666666667
-2.8,0.2,-0.8,-0.8,0.2,-0.8,-1.8,-1.8,-73.6842105263158,5.26315789473685,-21.0526315789474,-21.0526315789474,5.26315789473685,-21.0526315789474,-47.3684210526316,-47.3684210526316
-0.8,0.2,-1.8,-1.8,-2.8,0.2,-3.8,-2.8,-21.0526315789474,5.26315789473685,-47.3684210526316,-47.3684210526316,-73.6842105263158,5.26315789473685,-100,-73.6842105263158
-2.8,-2.8,-2.8,-2.8,-2.8,-3.8,-0.8,-3.8,-73.6842105263158,-73.6842105263158,-73.6842105263158,-73.6842105263158,-73.6842105263158,-100,-21.0526315789474,-100
0.2,-1.8,-3.8,-1.8,-2.8,-1.8,-1.8,-2.8,5.26315789473685,-47.3684210526316,-100,-47.3684210526316,-73.6842105263158,-47.3684210526316,-47.3684210526316,-73.6842105263158
0.2,-3.8,-0.8,1.2,-2.8,-1.8,-3.8,-0.8,5.26315789473685,-100,-21.0526315789474,31.5789473684211,-73.6842105263158,-47.3684210526316,-100,-21.0526315789474
-0.6,0.4,-0.6,-1.6,0.4,-1.6,1.4,-0.6,-37.5,25,-37.5,-100,25,-100,87.5,-37.5
3.4,0.4,0.4,-0.6,0.4,0.4,-1.6,2.4,212.5,25,25,-37.5,25,25,-100,150
1.4,2.4,0.4,-0.6,0.4,-0.6,3.4,2.4,87.5,150,25,-37.5,25,-37.5,212.5,150
1.4,-1.6,-0.6,-0.6,-1.6,1.4,-0.6,2.4,87.5,-100,-37.5,-37.5,-100,87.5,-37.5,150
1.4,0.4,0.4,-0.6,-1.6,-0.6,0.4,1.4,87.5,25,25,-37.5,-100,-37.5,25,87.5
-0.4,2.6,-1.4,-0.4,0.6,1.6,0.6,2.6,-28.5714285714286,185.714285714286,-100,-28.5714285714286,42.8571428571429,114.285714285714,42.8571428571429,185.714285714286
-0.4,-1.4,3.6,-0.4,-1.4,0.6,0.6,1.6,-28.5714285714286,-100,257.142857142857,-28.5714285714286,-100,42.8571428571429,42.8571428571429,114.285714285714
1.6,-0.4,-0.4,0.6,1.6,-1.4,1.6,-0.4,114.285714285714,-28.5714285714286,-28.5714285714286,42.8571428571429,114.285714285714,-100,114.285714285714,-28.5714285714286
-0.4,0.6,-0.4,-0.4,0.6,2.6,-0.4,-1.4,-28.5714285714286,42.8571428571429,-28.5714285714286,-28.5714285714286,42.8571428571429,185.714285714286,-28.5714285714286,-100
-1.4,-0.4,-0.4,0.6,0.6,0.6,-1.4,1.6,-100,-28.5714285714286,-28.5714285714286,42.8571428571429,42.8571428571429,42.8571428571429,-100,114.285714285714
1.8,-0.2,1.8,-1.2,2.8,0.8,2.8,0.8,150,-16.6666666666667,150,-100,233.333333333333,66.6666666666667,233.333333333333,66.6666666666667
0.8,-1.2,-0.2,-0.2,0.8,-0.2,1.8,0.8,66.6666666666667,-100,-16.6666666666667,-16.6666666666667,66.6666666666667,-16.6666666666667,150,66.6666666666667
1.8,1.8,0.8,-0.2,0.8,0.8,-0.2,-1.2,150,150,66.6666666666667,-16.6666666666667,66.6666666666667,66.6666666666667,-16.6666666666667,-100
0.8,-0.2,0.8,0.8,0.8,-0.2,-1.2,0.8,66.6666666666667,-16.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,-16.6666666666667,-100,66.6666666666667
-0.2,-0.2,1.8,-0.2,-0.2,-1.2,-0.2,0.8,-16.6666666666667,-16.6666666666667,150,-16.6666666666667,-16.6666666666667,-100,-16.6666666666667,66.6666666666667
-1.4,-1.4,3.6,0.6,1.6,-0.4,1.6,0.6,-100,-100,257.142857142857,42.8571428571429,114.285714285714,-28.5714285714286,114.285714285714,42.8571428571429
2.6,-0.4,0.6,0.6,0.6,-1.4,-0.4,-0.4,185.714285714286,-28.5714285714286,42.8571428571429,42.8571428571429,42.8571428571429,-100,-28.5714285714286,-28.5714285714286
0.6,0.6,1.6,-0.4,-0.4,0.6,-0.4,-0.4,42.8571428571429,42.8571428571429,114.285714285714,-28.5714285714286,-28.5714285714286,42.8571428571429,-28.5714285714286,-28.5714285714286
0.6,-0.4,-0.4,1.6,0.6,-0.4,-1.4,-0.4,42.8571428571429,-28.5714285714286,-28.5714285714286,114.285714285714,42.8571428571429,-28.5714285714286,-100,-28.5714285714286
0.6,-0.4,-0.4,0.6,0.6,0.6,-0.4,-1.4,42.8571428571429,-28.5714285714286,-28.5714285714286,42.8571428571429,42.8571428571429,42.8571428571429,-28.5714285714286,-100
0.2,1.2,0.2,-0.8,0.2,2.2,0.2,1.2,25,150,25,-100,25,275,25,150
0.2,3.2,0.2,-0.8,0.2,0.2,2.2,1.2,25,400,25,-100,25,25,275,150
-0.8,1.2,0.2,0.2,-0.8,-0.8,-0.8,0.2,-100,150,25,25,-100,-100,-100,25
0.2,0.2,0.2,3.2,2.2,2.2,0.2,1.2,25,25,25,400,275,275,25,150
1.2,0.2,1.2,1.2,1.2,2.2,1.2,1.2,150,25,150,150,150,275,150,150
-0.8,1.2,0.2,0.2,-0.8,-0.8,0.2,-0.8,-44.4444444444444,66.6666666666667,11.1111111111111,11.1111111111111,-44.4444444444444,-44.4444444444444,11.1111111111111,-44.4444444444444
0.2,-0.8,-0.8,-1.8,0.2,-0.8,-1.8,-1.8,11.1111111111111,-44.4444444444444,-44.4444444444444,-100,11.1111111111111,-44.4444444444444,-100,-100
-0.8,2.2,1.2,-0.8,0.2,2.2,1.2,-0.8,-44.4444444444444,122.222222222222,66.6666666666667,-44.4444444444444,11.1111111111111,122.222222222222,66.6666666666667,-44.4444444444444
-1.8,-1.8,0.2,2.2,-1.8,0.2,0.2,-0.8,-100,-100,11.1111111111111,122.222222222222,-100,11.1111111111111,11.1111111111111,-44.4444444444444
-1.8,1.2,-0.8,2.2,1.2,-0.8,0.2,-1.8,-100,66.6666666666667,-44.4444444444444,122.222222222222,66.6666666666667,-44.4444444444444,11.1111111111111,-100
-1,0,1,1,3,-1,-1,1,-100,0,100,100,300,-100,-100,100
0,1,0,0,-1,1,0,2,0,100,0,0,-100,100,0,200
1,0,1,0,1,2,2,0,100,0,100,0,100,200,200,0
1,0,2,0,2,-1,-1,0,100,0,200,0,200,-100,-100,0
1,-1,-1,2,0,1,0,0,100,-100,-100,200,0,100,0,0
-0.8,-0.8,-0.8,-0.8,2.2,-0.8,2.2,-1.8,-44.4444444444444,-44.4444444444444,-44.4444444444444,-44.4444444444444,122.222222222222,-44.4444444444444,122.222222222222,-100
-0.8,-0.8,-0.8,-0.8,2.2,-1.8,-0.8,0.2,-44.4444444444444,-44.4444444444444,-44.4444444444444,-44.4444444444444,122.222222222222,-100,-44.4444444444444,11.1111111111111
-0.8,0.2,2.2,-1.8,2.2,-1.8,0.2,0.2,-44.4444444444444,11.1111111111111,122.222222222222,-100,122.222222222222,-100,11.1111111111111,11.1111111111111
-1.8,-1.8,2.2,1.2,-0.8,1.2,-0.8,0.2,-100,-100,122.222222222222,66.6666666666667,-44.4444444444444,66.6666666666667,-44.4444444444444,11.1111111111111
-0.8,0.2,-0.8,3.2,1.2,0.2,0.2,-0.8,-44.4444444444444,11.1111111111111,-44.4444444444444,177.777777777778,66.6666666666667,11.1111111111111,11.1111111111111,-44.4444444444444
0.2,1.2,1.2,0.2,1.2,-0.8,1.2,-0.8,25,150,150,25,150,-100,150,-100
1.2,0.2,0.2,-0.8,-0.8,0.2,-0.8,0.2,150,25,25,-100,-100,25,-100,25
0.2,0.2,0.2,0.2,2.2,3.2,0.2,0.2,25,25,25,25,275,400,25,25
0.2,-0.8,2.2,-0.8,2.2,0.2,3.2,-0.8,25,-100,275,-100,275,25,400,-100
4.2,4.2,3.2,3.2,0.2,1.2,-0.8,-0.8,525,525,400,400,25,150,-100,-100
-1.2,-0.2,0.8,1.8,-1.2,-0.2,-1.2,1.8,-100,-16.6666666666667,66.6666666666667,150,-100,-16.6666666666667,-100,150
-0.2,-0.2,-0.2,-0.2,-0.2,0.8,-0.2,0.8,-16.6666666666667,-16.6666666666667,-16.6666666666667,-16.6666666666667,-16.6666666666667,66.6666666666667,-16.6666666666667,66.6666666666667
5.8,0.8,-1.2,-1.2,0.8,-0.2,0.8,-0.2,483.333333333333,66.6666666666667,-100,-100,66.6666666666667,-16.6666666666667,66.6666666666667,-16.6666666666667
