"abs_error_vol_15min","abs_error_vol_30min","abs_error_vol_45min","abs_error_vol_60min","abs_error_vol_75min","abs_error_vol_90min","abs_error_vol_105min","abs_error_vol_120min","rel_error_vol_15min","rel_error_vol_30min","rel_error_vol_45min","rel_error_vol_60min","rel_error_vol_75min","rel_error_vol_90min","rel_error_vol_105min","rel_error_vol_120min"
10.2,6.2,10.2,9.2,3.2,18.2,5.2,6.2,150,91.1764705882353,150,135.294117647059,47.0588235294118,267.647058823529,76.4705882352941,91.1764705882353
11.2,7.2,0.2,10.2,8.2,2.2,7.2,4.2,164.705882352941,105.882352941176,2.94117647058824,150,120.588235294118,32.3529411764706,105.882352941176,61.7647058823529
8.2,8.2,6.2,5.2,7.2,3.2,7.2,4.2,120.588235294118,120.588235294118,91.1764705882353,76.4705882352941,105.882352941176,47.0588235294118,105.882352941176,61.7647058823529
4.2,4.2,4.2,4.2,1.2,4.2,1.2,6.2,61.7647058823529,61.7647058823529,61.7647058823529,61.7647058823529,17.6470588235294,61.7647058823529,17.6470588235294,91.1764705882353
7.2,7.2,2.2,5.2,-3.8,6.2,4.2,5.2,105.882352941176,105.882352941176,32.3529411764706,76.4705882352941,-55.8823529411765,91.1764705882353,61.7647058823529,76.4705882352941
2.4,2.4,-1.6,0.4,4.4,4.4,12.4,2.4,31.5789473684211,31.5789473684211,-21.0526315789474,5.26315789473685,57.8947368421053,57.8947368421053,163.157894736842,31.5789473684211
0.4,9.4,-1.6,9.4,0.4,-1.6,1.4,0.4,5.26315789473685,123.684210526316,-21.0526315789474,123.684210526316,5.26315789473685,-21.0526315789474,18.421052631579,5.26315789473685
7.4,7.4,8.4,2.4,1.4,-2.6,4.4,0.4,97.3684210526316,97.3684210526316,110.526315789474,31.5789473684211,18.421052631579,-34.2105263157895,57.8947368421053,5.26315789473685
3.4,-2.6,3.4,5.4,6.4,4.4,0.4,9.4,44.7368421052632,-34.2105263157895,44.7368421052632,71.0526315789474,84.2105263157895,57.8947368421053,5.26315789473685,123.684210526316
6.4,8.4,7.4,3.4,5.4,3.4,7.4,8.4,84.2105263157895,110.526315789474,97.3684210526316,44.7368421052632,71.0526315789474,44.7368421052632,97.3684210526316,110.526315789474
6.4,3.4,5.4,1.4,7.4,1.4,0.4,3.4,74.4186046511628,39.5348837209302,62.7906976744186,16.2790697674419,86.046511627907,16.2790697674419,4.65116279069768,39.5348837209302
3.4,0.4,1.4,3.4,-2.6,2.4,6.4,4.4,39.5348837209302,4.65116279069768,16.2790697674419,39.5348837209302,-30.2325581395349,27.9069767441861,74.4186046511628,51.1627906976744
-1.6,-0.6,0.4,0.4,-1.6,3.4,8.4,8.4,-18.6046511627907,-6.97674418604651,4.65116279069768,4.65116279069768,-18.6046511627907,39.5348837209302,97.6744186046512,97.6744186046512
-1.6,4.4,4.4,-1.6,-1.6,2.4,7.4,10.4,-18.6046511627907,51.1627906976744,51.1627906976744,-18.6046511627907,-18.6046511627907,27.9069767441861,86.046511627907,120.93023255814
5.4,1.4,0.4,-1.6,3.4,6.4,3.4,1.4,62.7906976744186,16.2790697674419,4.65116279069768,-18.6046511627907,39.5348837209302,74.4186046511628,39.5348837209302,16.2790697674419
2.2,2.2,-2.8,1.2,7.2,-0.8,3.2,4.2,32.3529411764706,32.3529411764706,-41.1764705882353,17.6470588235294,105.882352941176,-11.7647058823529,47.0588235294118,61.7647058823529
1.2,7.2,7.2,-0.8,2.2,6.2,5.2,2.2,17.6470588235294,105.882352941176,105.882352941176,-11.7647058823529,32.3529411764706,91.1764705882353,76.4705882352941,32.3529411764706
2.2,-0.8,-0.8,4.2,10.2,-0.8,1.2,1.2,32.3529411764706,-11.7647058823529,-11.7647058823529,61.7647058823529,150,-11.7647058823529,17.6470588235294,17.6470588235294
2.2,-0.8,3.2,3.2,2.2,-1.8,0.2,0.2,32.3529411764706,-11.7647058823529,47.0588235294118,47.0588235294118,32.3529411764706,-26.4705882352941,2.94117647058824,2.94117647058824
-1.8,2.2,-2.8,7.2,2.2,6.2,0.2,3.2,-26.4705882352941,32.3529411764706,-41.1764705882353,105.882352941176,32.3529411764706,91.1764705882353,2.94117647058824,47.0588235294118
0,0,-5,0,4,1,3,2,0,0,-62.5,0,50,12.5,37.5,25
1,1,-3,5,2,4,3,2,12.5,12.5,-37.5,62.5,25,50,37.5,25
-3,1,-2,5,-3,-2,3,-1,-37.5,12.5,-25,62.5,-37.5,-25,37.5,-12.5
2,3,-1,-3,-4,3,-6,-2,25,37.5,-12.5,-37.5,-50,37.5,-75,-25
1,-2,0,2,5,2,-4,1,12.5,-25,0,25,62.5,25,-50,12.5
1.6,-5.4,-5.4,2.6,-1.4,5.6,-2.4,2.6,21.6216216216216,-72.972972972973,-72.972972972973,35.1351351351351,-18.9189189189189,75.6756756756757,-32.4324324324324,35.1351351351351
-0.4,0.6,-1.4,0.6,-1.4,-0.4,4.6,0.6,-5.40540540540541,8.1081081081081,-18.9189189189189,8.1081081081081,-18.9189189189189,-5.40540540540541,62.1621621621621,8.1081081081081
0.6,0.6,0.6,0.6,-3.4,-0.4,1.6,1.6,8.1081081081081,8.1081081081081,8.1081081081081,8.1081081081081,-45.945945945946,-5.40540540540541,21.6216216216216,21.6216216216216
3.6,1.6,-0.4,-2.4,-3.4,-3.4,0.6,0.6,48.6486486486486,21.6216216216216,-5.40540540540541,-32.4324324324324,-45.945945945946,-45.945945945946,8.1081081081081,8.1081081081081
1.6,4.6,0.6,2.6,2.6,5.6,-0.4,3.6,21.6216216216216,62.1621621621621,8.1081081081081,35.1351351351351,35.1351351351351,75.6756756756757,-5.40540540540541,48.6486486486486
4.4,-2.6,-1.6,0.4,-2.6,0.4,-1.6,-1.6,57.8947368421053,-34.2105263157895,-21.0526315789474,5.26315789473685,-34.2105263157895,5.26315789473685,-21.0526315789474,-21.0526315789474
-3.6,-2.6,-1.6,5.4,0.4,1.4,4.4,5.4,-47.3684210526316,-34.2105263157895,-21.0526315789474,71.0526315789474,5.26315789473685,18.421052631579,57.8947368421053,71.0526315789474
3.4,-2.6,-3.6,-0.6,2.4,-1.6,-0.6,4.4,44.7368421052632,-34.2105263157895,-47.3684210526316,-7.89473684210526,31.5789473684211,-21.0526315789474,-7.89473684210526,57.8947368421053
-2.6,0.4,5.4,4.4,-0.6,0.4,2.4,-1.6,-34.2105263157895,5.26315789473685,71.0526315789474,57.8947368421053,-7.89473684210526,5.26315789473685,31.5789473684211,-21.0526315789474
-0.6,4.4,-3.6,-1.6,10.4,-1.6,-1.6,-1.6,-7.89473684210526,57.8947368421053,-47.3684210526316,-21.0526315789474,136.842105263158,-21.0526315789474,-21.0526315789474,-21.0526315789474
-1.6,-0.6,-3.6,3.4,2.4,1.4,7.4,3.4,-21.0526315789474,-7.89473684210526,-47.3684210526316,44.7368421052632,31.5789473684211,18.421052631579,97.3684210526316,44.7368421052632
2.4,1.4,0.4,1.4,4.4,4.4,-1.6,10.4,31.5789473684211,18.421052631579,5.26315789473685,18.421052631579,57.8947368421053,57.8947368421053,-21.0526315789474,136.842105263158
1.4,4.4,4.4,0.4,0.4,1.4,0.4,0.4,18.421052631579,57.8947368421053,57.8947368421053,5.26315789473685,5.26315789473685,18.421052631579,5.26315789473685,5.26315789473685
2.4,3.4,-3.6,2.4,6.4,0.4,12.4,-0.6,31.5789473684211,44.7368421052632,-47.3684210526316,31.5789473684211,84.2105263157895,5.26315789473685,163.157894736842,-7.89473684210526
0.4,-1.6,8.4,1.4,-2.6,-2.6,-0.6,0.4,5.26315789473685,-21.0526315789474,110.526315789474,18.421052631579,-34.2105263157895,-34.2105263157895,-7.89473684210526,5.26315789473685
0.6,-1.4,1.6,-2.4,2.6,6.6,0.6,3.6,8.1081081081081,-18.9189189189189,21.6216216216216,-32.4324324324324,35.1351351351351,89.1891891891892,8.1081081081081,48.6486486486486
0.6,-2.4,-3.4,4.6,0.6,3.6,4.6,-0.4,8.1081081081081,-32.4324324324324,-45.945945945946,62.1621621621621,8.1081081081081,48.6486486486486,62.1621621621621,-5.40540540540541
-1.4,0.6,0.6,1.6,0.6,-1.4,-0.4,-0.4,-18.9189189189189,8.1081081081081,8.1081081081081,21.6216216216216,8.1081081081081,-18.9189189189189,-5.40540540540541,-5.40540540540541
-2.4,8.6,-4.4,0.6,2.6,-2.4,3.6,-0.4,-32.4324324324324,116.216216216216,-59.4594594594595,8.1081081081081,35.1351351351351,-32.4324324324324,48.6486486486486,-5.40540540540541
-0.4,1.6,4.6,1.6,0.6,3.6,-1.4,-4.4,-5.40540540540541,21.6216216216216,62.1621621621621,21.6216216216216,8.1081081081081,48.6486486486486,-18.9189189189189,-59.4594594594595
3.4,-3.6,3.4,3.4,2.4,3.4,2.4,3.4,51.5151515151515,-54.5454545454545,51.5151515151515,51.5151515151515,36.3636363636364,51.5151515151515,36.3636363636364,51.5151515151515
8.4,1.4,6.4,2.4,1.4,3.4,0.4,2.4,127.272727272727,21.2121212121212,96.969696969697,36.3636363636364,21.2121212121212,51.5151515151515,6.06060606060607,36.3636363636364
4.4,1.4,2.4,1.4,2.4,-0.6,2.4,6.4,66.6666666666667,21.2121212121212,36.3636363636364,21.2121212121212,36.3636363636364,-9.09090909090909,36.3636363636364,96.969696969697
2.4,0.4,1.4,4.4,4.4,2.4,0.4,-3.6,36.3636363636364,6.06060606060607,21.2121212121212,66.6666666666667,66.6666666666667,36.3636363636364,6.06060606060607,-54.5454545454545
3.4,2.4,2.4,-1.6,4.4,3.4,5.4,0.4,51.5151515151515,36.3636363636364,36.3636363636364,-24.2424242424242,66.6666666666667,51.5151515151515,81.8181818181818,6.06060606060607
4.2,7.2,5.2,5.2,0.2,6.2,4.2,3.2,110.526315789474,189.473684210526,136.842105263158,136.842105263158,5.26315789473685,163.157894736842,110.526315789474,84.2105263157895
6.2,6.2,4.2,5.2,3.2,9.2,5.2,3.2,163.157894736842,163.157894736842,110.526315789474,136.842105263158,84.2105263157895,242.105263157895,136.842105263158,84.2105263157895
12.2,9.2,0.2,0.2,8.2,3.2,8.2,1.2,321.052631578947,242.105263157895,5.26315789473685,5.26315789473685,215.789473684211,84.2105263157895,215.789473684211,31.5789473684211
6.2,6.2,10.2,7.2,6.2,0.2,3.2,8.2,163.157894736842,163.157894736842,268.421052631579,189.473684210526,163.157894736842,5.26315789473685,84.2105263157895,215.789473684211
7.2,13.2,6.2,4.2,8.2,4.2,3.2,3.2,189.473684210526,347.368421052632,163.157894736842,110.526315789474,215.789473684211,110.526315789474,84.2105263157895,84.2105263157895
5.6,4.6,-0.4,2.6,0.6,4.6,1.6,1.6,87.5,71.875,-6.25000000000001,40.625,9.37499999999999,71.875,25,25
2.6,2.6,3.6,0.6,3.6,3.6,3.6,1.6,40.625,40.625,56.25,9.37499999999999,56.25,56.25,56.25,25
8.6,0.6,0.6,3.6,5.6,0.6,-2.4,4.6,134.375,9.37499999999999,9.37499999999999,56.25,87.5,9.37499999999999,-37.5,71.875
5.6,-2.4,0.6,2.6,-0.4,0.6,-0.4,6.6,87.5,-37.5,9.37499999999999,40.625,-6.25000000000001,9.37499999999999,-6.25000000000001,103.125
6.6,1.6,-0.4,-0.4,-1.4,1.6,3.6,5.6,103.125,25,-6.25000000000001,-6.25000000000001,-21.875,25,56.25,87.5
4,3,5,9,5,8,-3,5,100,75,125,225,125,200,-75,125
12,3,4,4,5,10,5,5,300,75,100,100,125,250,125,125
1,3,7,5,5,5,5,2,25,75,175,125,125,125,125,50
7,1,5,5,5,3,4,2,175,25,125,125,125,75,100,50
6,6,5,3,3,3,5,2,150,150,125,75,75,75,125,50
0.2,4.2,0.2,2.2,3.2,12.2,3.2,3.2,4.16666666666667,87.5,4.16666666666667,45.8333333333333,66.6666666666667,254.166666666667,66.6666666666667,66.6666666666667
2.2,5.2,2.2,3.2,-0.8,4.2,3.2,3.2,45.8333333333333,108.333333333333,45.8333333333333,66.6666666666667,-16.6666666666667,87.5,66.6666666666667,66.6666666666667
2.2,1.2,3.2,3.2,1.2,3.2,0.2,3.2,45.8333333333333,25,66.6666666666667,66.6666666666667,25,66.6666666666667,4.16666666666667,66.6666666666667
1.2,2.2,4.2,7.2,5.2,4.2,-0.8,3.2,25,45.8333333333333,87.5,150,108.333333333333,87.5,-16.6666666666667,66.6666666666667
3.2,-1.8,4.2,2.2,5.2,2.2,1.2,9.2,66.6666666666667,-37.5,87.5,45.8333333333333,108.333333333333,45.8333333333333,25,191.666666666667
3.4,4.4,2.4,1.4,-0.6,0.4,-1.6,8.4,73.9130434782609,95.6521739130435,52.1739130434783,30.4347826086957,-13.0434782608696,8.69565217391305,-34.7826086956522,182.608695652174
2.4,6.4,8.4,4.4,5.4,7.4,-0.6,3.4,52.1739130434783,139.130434782609,182.608695652174,95.6521739130435,117.391304347826,160.869565217391,-13.0434782608696,73.9130434782609
4.4,2.4,4.4,4.4,4.4,4.4,-0.6,4.4,95.6521739130435,52.1739130434783,95.6521739130435,95.6521739130435,95.6521739130435,95.6521739130435,-13.0434782608696,95.6521739130435
3.4,3.4,2.4,1.4,7.4,3.4,6.4,3.4,73.9130434782609,73.9130434782609,52.1739130434783,30.4347826086957,160.869565217391,73.9130434782609,139.130434782609,73.9130434782609
2.4,-3.6,1.4,3.4,6.4,-1.6,0.4,5.4,52.1739130434783,-78.2608695652174,30.4347826086957,73.9130434782609,139.130434782609,-34.7826086956522,8.69565217391305,117.391304347826
5,2,7,5,3,7,2,2,125,50,175,125,75,175,50,50
0,0,2,-1,3,1,7,5,0,0,50,-25,75,25,175,125
4,3,4,7,6,8,1,4,100,75,100,175,150,200,25,100
6,2,4,3,3,1,2,-1,150,50,100,75,75,25,50,-25
0,0,-1,2,-1,2,0,6,0,0,-25,50,-25,50,0,150
0.8,3.8,-1.2,3.8,-3.2,-0.2,-0.2,0.8,15.3846153846154,73.0769230769231,-23.0769230769231,73.0769230769231,-61.5384615384615,-3.84615384615385,-3.84615384615385,15.3846153846154
2.8,-1.2,2.8,2.8,0.8,0.8,-1.2,0.8,53.8461538461538,-23.0769230769231,53.8461538461538,53.8461538461538,15.3846153846154,15.3846153846154,-23.0769230769231,15.3846153846154
5.8,-1.2,-0.2,-1.2,3.8,-2.2,-0.2,0.8,111.538461538462,-23.0769230769231,-3.84615384615385,-23.0769230769231,73.0769230769231,-42.3076923076923,-3.84615384615385,15.3846153846154
-2.2,1.8,1.8,-1.2,-0.2,-1.2,-2.2,9.8,-42.3076923076923,34.6153846153846,34.6153846153846,-23.0769230769231,-3.84615384615385,-23.0769230769231,-42.3076923076923,188.461538461538
4.8,-0.2,0.8,0.8,-2.2,0.8,-1.2,2.8,92.3076923076923,-3.84615384615385,15.3846153846154,15.3846153846154,-42.3076923076923,15.3846153846154,-23.0769230769231,53.8461538461538
-1.4,-0.4,-0.4,3.6,-0.4,0.6,2.6,-2.4,-25.9259259259259,-7.40740740740741,-7.40740740740741,66.6666666666667,-7.40740740740741,11.1111111111111,48.1481481481481,-44.4444444444444
-2.4,-2.4,2.6,1.6,0.6,-1.4,0.6,1.6,-44.4444444444444,-44.4444444444444,48.1481481481481,29.6296296296296,11.1111111111111,-25.9259259259259,11.1111111111111,29.6296296296296
-0.4,-1.4,-2.4,1.6,-5.4,-1.4,-2.4,1.6,-7.40740740740741,-25.9259259259259,-44.4444444444444,29.6296296296296,-100,-25.9259259259259,-44.4444444444444,29.6296296296296
2.6,-0.4,2.6,-0.4,2.6,-3.4,-0.4,0.6,48.1481481481481,-7.40740740740741,48.1481481481481,-7.40740740740741,48.1481481481481,-62.962962962963,-7.40740740740741,11.1111111111111
0.6,-2.4,-2.4,-1.4,2.6,3.6,-0.4,-2.4,11.1111111111111,-44.4444444444444,-44.4444444444444,-25.9259259259259,48.1481481481481,66.6666666666667,-7.40740740740741,-44.4444444444444
1.2,0.2,0.2,-0.8,0.2,3.2,3.2,0.2,31.5789473684211,5.26315789473685,5.26315789473685,-21.0526315789474,5.26315789473685,84.2105263157895,84.2105263157895,5.26315789473685
2.2,4.2,5.2,-0.8,4.2,-1.8,1.2,-1.8,57.8947368421053,110.526315789474,136.842105263158,-21.0526315789474,110.526315789474,-47.3684210526316,31.5789473684211,-47.3684210526316
-1.8,-1.8,3.2,2.2,-0.8,-0.8,1.2,9.2,-47.3684210526316,-47.3684210526316,84.2105263157895,57.8947368421053,-21.0526315789474,-21.0526315789474,31.5789473684211,242.105263157895
2.2,1.2,1.2,5.2,6.2,5.2,4.2,0.2,57.8947368421053,31.5789473684211,31.5789473684211,136.842105263158,163.157894736842,136.842105263158,110.526315789474,5.26315789473685
2.2,0.2,0.2,6.2,-0.8,0.2,4.2,-0.8,57.8947368421053,5.26315789473685,5.26315789473685,163.157894736842,-21.0526315789474,5.26315789473685,110.526315789474,-21.0526315789474
1.2,1.2,2.2,3.2,5.2,3.2,-1.8,6.2,31.5789473684211,31.5789473684211,57.8947368421053,84.2105263157895,136.842105263158,84.2105263157895,-47.3684210526316,163.157894736842
9.2,-1.8,0.2,0.2,1.2,1.2,5.2,4.2,242.105263157895,-47.3684210526316,5.26315789473685,5.26315789473685,31.5789473684211,31.5789473684211,136.842105263158,110.526315789474
2.2,1.2,3.2,-1.8,1.2,3.2,1.2,-1.8,57.8947368421053,31.5789473684211,84.2105263157895,-47.3684210526316,31.5789473684211,84.2105263157895,31.5789473684211,-47.3684210526316
1.2,2.2,-0.8,3.2,-0.8,1.2,0.2,1.2,31.5789473684211,57.8947368421053,-21.0526315789474,84.2105263157895,-21.0526315789474,31.5789473684211,5.26315789473685,31.5789473684211
0.2,0.2,-0.8,-0.8,2.2,1.2,0.2,3.2,5.26315789473685,5.26315789473685,-21.0526315789474,-21.0526315789474,57.8947368421053,31.5789473684211,5.26315789473685,84.2105263157895
5.2,-5.8,1.2,0.2,-1.8,1.2,-0.8,-3.8,89.6551724137931,-100,20.6896551724138,3.44827586206897,-31.0344827586207,20.6896551724138,-13.7931034482759,-65.5172413793103
0.2,-4.8,-0.8,0.2,0.2,-2.8,0.2,-1.8,3.44827586206897,-82.7586206896552,-13.7931034482759,3.44827586206897,3.44827586206897,-48.2758620689655,3.44827586206897,-31.0344827586207
-0.8,-3.8,0.2,-5.8,-1.8,-2.8,3.2,-1.8,-13.7931034482759,-65.5172413793103,3.44827586206897,-100,-31.0344827586207,-48.2758620689655,55.1724137931034,-31.0344827586207
0.2,-2.8,1.2,3.2,-0.8,-2.8,-0.8,1.2,3.44827586206897,-48.2758620689655,20.6896551724138,55.1724137931034,-13.7931034482759,-48.2758620689655,-13.7931034482759,20.6896551724138
2.2,-0.8,-2.8,0.2,1.2,-0.8,1.2,-1.8,37.9310344827586,-13.7931034482759,-48.2758620689655,3.44827586206897,20.6896551724138,-13.7931034482759,20.6896551724138,-31.0344827586207
-1.2,0.8,-0.2,-0.2,3.8,4.8,3.8,-1.2,-28.5714285714286,19.047619047619,-4.76190476190477,-4.76190476190477,90.4761904761905,114.285714285714,90.4761904761905,-28.5714285714286
-2.2,-0.2,0.8,-2.2,-3.2,1.8,-1.2,-0.2,-52.3809523809524,-4.76190476190477,19.047619047619,-52.3809523809524,-76.1904761904762,42.8571428571428,-28.5714285714286,-4.76190476190477
3.8,-1.2,-2.2,-0.2,2.8,1.8,1.8,-1.2,90.4761904761905,-28.5714285714286,-52.3809523809524,-4.76190476190477,66.6666666666667,42.8571428571428,42.8571428571428,-28.5714285714286
-2.2,-3.2,3.8,-2.2,0.8,0.8,0.8,-1.2,-52.3809523809524,-76.1904761904762,90.4761904761905,-52.3809523809524,19.047619047619,19.047619047619,19.047619047619,-28.5714285714286
3.8,2.8,1.8,0.8,0.8,0.8,-1.2,0.8,90.4761904761905,66.6666666666667,42.8571428571428,19.047619047619,19.047619047619,19.047619047619,-28.5714285714286,19.047619047619
2,2,2,-2,2,-2,-2,1,40,40,40,-40,40,-40,-40,20
8,-2,0,-2,0,3,0,4,160,-40,0,-40,0,60,0,80
1,0,1,-2,-1,11,4,-1,20,0,20,-40,-20,220,80,-20
0,0,1,-5,3,3,0,-1,0,0,20,-100,60,60,0,-20
-1,2,2,-1,-1,-1,5,-2,-20,40,40,-20,-20,-20,100,-40
1.6,1.6,1.6,2.6,-0.4,9.6,3.6,3.6,36.3636363636364,36.3636363636364,36.3636363636364,59.0909090909091,-9.0909090909091,218.181818181818,81.8181818181818,81.8181818181818
5.6,5.6,-1.4,-0.4,-1.4,0.6,0.6,1.6,127.272727272727,127.272727272727,-31.8181818181818,-9.0909090909091,-31.8181818181818,13.6363636363636,13.6363636363636,36.3636363636364
0.6,2.6,-0.4,2.6,0.6,1.6,0.6,4.6,13.6363636363636,59.0909090909091,-9.0909090909091,59.0909090909091,13.6363636363636,36.3636363636364,13.6363636363636,104.545454545455
-2.4,0.6,2.6,0.6,1.6,2.6,-0.4,1.6,-54.5454545454546,13.6363636363636,59.0909090909091,13.6363636363636,36.3636363636364,59.0909090909091,-9.0909090909091,36.3636363636364
1.6,-2.4,2.6,-2.4,1.6,3.6,5.6,4.6,36.3636363636364,-54.5454545454546,59.0909090909091,-54.5454545454546,36.3636363636364,81.8181818181818,127.272727272727,104.545454545455
0,3,2,7,3,5,-1,4,0,100,66.6666666666667,233.333333333333,100,166.666666666667,-33.3333333333333,133.333333333333
0,-1,4,5,1,2,3,6,0,-33.3333333333333,133.333333333333,166.666666666667,33.3333333333333,66.6666666666667,100,200
3,-1,3,2,4,7,0,2,100,-33.3333333333333,100,66.6666666666667,133.333333333333,233.333333333333,0,66.6666666666667
4,3,6,1,2,5,2,2,133.333333333333,100,200,33.3333333333333,66.6666666666667,166.666666666667,66.6666666666667,66.6666666666667
1,8,-1,3,3,4,2,5,33.3333333333333,266.666666666667,-33.3333333333333,100,100,133.333333333333,66.6666666666667,166.666666666667
4.6,-4.4,-0.4,4.6,1.6,-1.4,1.6,2.6,85.1851851851852,-81.4814814814815,-7.40740740740741,85.1851851851852,29.6296296296296,-25.9259259259259,29.6296296296296,48.1481481481481
0.6,1.6,4.6,-1.4,-3.4,1.6,3.6,3.6,11.1111111111111,29.6296296296296,85.1851851851852,-25.9259259259259,-62.962962962963,29.6296296296296,66.6666666666667,66.6666666666667
