"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min","rel_error_sp_15min","rel_error_sp_30min","rel_error_sp_45min","rel_error_sp_60min","rel_error_sp_75min","rel_error_sp_90min","rel_error_sp_105min","rel_error_sp_120min"
-7.6914285714,-7.6914285714,-7.6914285714,-7.6914285714,-7.6914285714,-7.6914285714,-7.6914285714,-7.6914285714,-10.5809291721997,-10.5809291721997,-10.5809291721997,-10.5809291721997,-10.5809291721997,-10.5809291721997,-10.5809291721997,-10.5809291721997
-7.7993333333,-7.7993333333,-7.7993333333,-7.7993333333,-7.7993333333,-7.7993333333,-7.7993333333,-7.7993333333,-10.7134680720111,-10.7134680720111,-10.7134680720111,-10.7134680720111,-10.7134680720111,-10.7134680720111,-10.7134680720111,-10.7134680720111
-7.90600000000001,-7.90600000000001,-7.90600000000001,-7.90600000000001,-7.90600000000001,-7.90600000000001,-7.90600000000001,-7.90600000000001,-10.8441006227197,-10.8441006227197,-10.8441006227197,-10.8441006227197,-10.8441006227197,-10.8441006227197,-10.8441006227197,-10.8441006227197
-7.946,-7.946,-7.946,-7.946,-7.946,-7.946,-7.946,-7.946,-10.8929893345763,-10.8929893345763,-10.8929893345763,-10.8929893345763,-10.8929893345763,-10.8929893345763,-10.8929893345763,-10.8929893345763
-7.93600000000001,-7.93600000000001,-7.93600000000001,-7.93600000000001,-7.93600000000001,-7.93600000000001,-7.93600000000001,-7.93600000000001,-10.8807721838324,-10.8807721838324,-10.8807721838324,-10.8807721838324,-10.8807721838324,-10.8807721838324,-10.8807721838324,-10.8807721838324
-7.91200000000001,-7.91200000000001,-7.91200000000001,-7.91200000000001,-7.91200000000001,-7.91200000000001,-7.91200000000001,-7.91200000000001,-10.8514373491332,-10.8514373491332,-10.8514373491332,-10.8514373491332,-10.8514373491332,-10.8514373491332,-10.8514373491332,-10.8514373491332
-7.898,-7.898,-7.898,-7.898,-7.898,-7.898,-7.898,-7.898,-10.834316442152,-10.834316442152,-10.834316442152,-10.834316442152,-10.834316442152,-10.834316442152,-10.834316442152,-10.834316442152
-7.8546666667,-7.8546666667,-7.8546666667,-7.8546666667,-7.8546666667,-7.8546666667,-7.8546666667,-7.8546666667,-10.7812814553583,-10.7812814553583,-10.7812814553583,-10.7812814553583,-10.7812814553583,-10.7812814553583,-10.7812814553583,-10.7812814553583
-7.80800000000001,-7.80800000000001,-7.80800000000001,-7.80800000000001,-7.80800000000001,-7.80800000000001,-7.80800000000001,-7.80800000000001,-10.724096253159,-10.724096253159,-10.724096253159,-10.724096253159,-10.724096253159,-10.724096253159,-10.724096253159,-10.724096253159
-7.85599999999999,-7.85599999999999,-7.85599999999999,-7.85599999999999,-7.85599999999999,-7.85599999999999,-7.85599999999999,-7.85599999999999,-10.782914241792,-10.782914241792,-10.782914241792,-10.782914241792,-10.782914241792,-10.782914241792,-10.782914241792,-10.782914241792
-7.92933333329999,-7.92933333329999,-7.92933333329999,-7.92933333329999,-7.92933333329999,-7.92933333329999,-7.92933333329999,-7.92933333329999,-10.8726255552914,-10.8726255552914,-10.8726255552914,-10.8726255552914,-10.8726255552914,-10.8726255552914,-10.8726255552914,-10.8726255552914
-8.02733333330001,-8.02733333330001,-8.02733333330001,-8.02733333330001,-8.02733333330001,-8.02733333330001,-8.02733333330001,-8.02733333330001,-10.9922312193202,-10.9922312193202,-10.9922312193202,-10.9922312193202,-10.9922312193202,-10.9922312193202,-10.9922312193202,-10.9922312193202
-8.086,-8.086,-8.086,-8.086,-8.086,-8.086,-8.086,-8.086,-11.0636784062611,-11.0636784062611,-11.0636784062611,-11.0636784062611,-11.0636784062611,-11.0636784062611,-11.0636784062611,-11.0636784062611
-7.9746666667,-7.9746666667,-7.9746666667,-7.9746666667,-7.9746666667,-7.9746666667,-7.9746666667,-7.9746666667,-10.9279932762461,-10.9279932762461,-10.9279932762461,-10.9279932762461,-10.9279932762461,-10.9279932762461,-10.9279932762461,-10.9279932762461
-7.8553333333,-7.8553333333,-7.8553333333,-7.8553333333,-7.8553333333,-7.8553333333,-7.8553333333,-7.8553333333,-10.7820978559844,-10.7820978559844,-10.7820978559844,-10.7820978559844,-10.7820978559844,-10.7820978559844,-10.7820978559844,-10.7820978559844
-7.76466666669999,-7.76466666669999,-7.76466666669999,-7.76466666669999,-7.76466666669999,-7.76466666669999,-7.76466666669999,-7.76466666669999,-10.6709300301838,-10.6709300301838,-10.6709300301838,-10.6709300301838,-10.6709300301838,-10.6709300301838,-10.6709300301838,-10.6709300301838
-7.7026666667,-7.7026666667,-7.7026666667,-7.7026666667,-7.7026666667,-7.7026666667,-7.7026666667,-7.7026666667,-10.5947512242052,-10.5947512242052,-10.5947512242052,-10.5947512242052,-10.5947512242052,-10.5947512242052,-10.5947512242052,-10.5947512242052
-7.5553333333,-7.5553333333,-7.5553333333,-7.5553333333,-7.5553333333,-7.5553333333,-7.5553333333,-7.5553333333,-10.4132018780657,-10.4132018780657,-10.4132018780657,-10.4132018780657,-10.4132018780657,-10.4132018780657,-10.4132018780657,-10.4132018780657
-7.4673333333,-7.4673333333,-7.4673333333,-7.4673333333,-7.4673333333,-7.4673333333,-7.4673333333,-7.4673333333,-10.304413022838,-10.304413022838,-10.304413022838,-10.304413022838,-10.304413022838,-10.304413022838,-10.304413022838,-10.304413022838
-7.3946666667,-7.3946666667,-7.3946666667,-7.3946666667,-7.3946666667,-7.3946666667,-7.3946666667,-7.3946666667,-10.2143804332224,-10.2143804332224,-10.2143804332224,-10.2143804332224,-10.2143804332224,-10.2143804332224,-10.2143804332224,-10.2143804332224
-7.28333333330001,-7.28333333330001,-7.28333333330001,-7.28333333330001,-7.28333333330001,-7.28333333330001,-7.28333333330001,-7.28333333330001,-10.0760894627208,-10.0760894627208,-10.0760894627208,-10.0760894627208,-10.0760894627208,-10.0760894627208,-10.0760894627208,-10.0760894627208
-7.1726666667,-7.1726666667,-7.1726666667,-7.1726666667,-7.1726666667,-7.1726666667,-7.1726666667,-7.1726666667,-9.93820375215458,-9.93820375215458,-9.93820375215458,-9.93820375215458,-9.93820375215458,-9.93820375215458,-9.93820375215458,-9.93820375215458
-7.08,-7.08,-7.08,-7.08,-7.08,-7.08,-7.08,-7.08,-9.82241953385127,-9.82241953385127,-9.82241953385127,-9.82241953385127,-9.82241953385127,-9.82241953385127,-9.82241953385127,-9.82241953385127
-7.012,-7.012,-7.012,-7.012,-7.012,-7.012,-7.012,-7.012,-9.73726601122035,-9.73726601122035,-9.73726601122035,-9.73726601122035,-9.73726601122035,-9.73726601122035,-9.73726601122035,-9.73726601122035
-6.91800000000001,-6.91800000000001,-6.91800000000001,-6.91800000000001,-6.91800000000001,-6.91800000000001,-6.91800000000001,-6.91800000000001,-9.61928863427794,-9.61928863427794,-9.61928863427794,-9.61928863427794,-9.61928863427794,-9.61928863427794,-9.61928863427794,-9.61928863427794
-6.81933333329999,-6.81933333329999,-6.81933333329999,-6.81933333329999,-6.81933333329999,-6.81933333329999,-6.81933333329999,-6.81933333329999,-9.49512201909861,-9.49512201909861,-9.49512201909861,-9.49512201909861,-9.49512201909861,-9.49512201909861,-9.49512201909861,-9.49512201909861
-6.6646666667,-6.6646666667,-6.6646666667,-6.6646666667,-6.6646666667,-6.6646666667,-6.6646666667,-6.6646666667,-9.29979441290952,-9.29979441290952,-9.29979441290952,-9.29979441290952,-9.29979441290952,-9.29979441290952,-9.29979441290952,-9.29979441290952
-6.55266666670001,-6.55266666670001,-6.55266666670001,-6.55266666670001,-6.55266666670001,-6.55266666670001,-6.55266666670001,-6.55266666670001,-9.15782314197042,-9.15782314197042,-9.15782314197042,-9.15782314197042,-9.15782314197042,-9.15782314197042,-9.15782314197042,-9.15782314197042
-6.54000000000001,-6.54000000000001,-6.54000000000001,-6.54000000000001,-6.54000000000001,-6.54000000000001,-6.54000000000001,-6.54000000000001,-9.14173888733576,-9.14173888733576,-9.14173888733576,-9.14173888733576,-9.14173888733576,-9.14173888733576,-9.14173888733576,-9.14173888733576
-6.48999999999999,-6.48999999999999,-6.48999999999999,-6.48999999999999,-6.48999999999999,-6.48999999999999,-6.48999999999999,-6.48999999999999,-9.07819275423135,-9.07819275423135,-9.07819275423135,-9.07819275423135,-9.07819275423135,-9.07819275423135,-9.07819275423135,-9.07819275423135
-6.512,-6.512,-6.512,-6.512,-6.512,-6.512,-6.512,-6.512,-9.10616400044748,-9.10616400044748,-9.10616400044748,-9.10616400044748,-9.10616400044748,-9.10616400044748,-9.10616400044748,-9.10616400044748
-6.53466666670001,-6.53466666670001,-6.53466666670001,-6.53466666670001,-6.53466666670001,-6.53466666670001,-6.53466666670001,-6.53466666670001,-9.13496486556209,-9.13496486556209,-9.13496486556209,-9.13496486556209,-9.13496486556209,-9.13496486556209,-9.13496486556209,-9.13496486556209
-6.60066666669999,-6.60066666669999,-6.60066666669999,-6.60066666669999,-6.60066666669999,-6.60066666669999,-6.60066666669999,-6.60066666669999,-9.21872235830707,-9.21872235830707,-9.21872235830707,-9.21872235830707,-9.21872235830707,-9.21872235830707,-9.21872235830707,-9.21872235830707
-6.708,-6.708,-6.708,-6.708,-6.708,-6.708,-6.708,-6.708,-9.35460478607687,-9.35460478607687,-9.35460478607687,-9.35460478607687,-9.35460478607687,-9.35460478607687,-9.35460478607687,-9.35460478607687
-6.80200000000001,-6.80200000000001,-6.80200000000001,-6.80200000000001,-6.80200000000001,-6.80200000000001,-6.80200000000001,-6.80200000000001,-9.47327372496589,-9.47327372496589,-9.47327372496589,-9.47327372496589,-9.47327372496589,-9.47327372496589,-9.47327372496589,-9.47327372496589
-6.9406666667,-6.9406666667,-6.9406666667,-6.9406666667,-6.9406666667,-6.9406666667,-6.9406666667,-6.9406666667,-9.64776528810332,-9.64776528810332,-9.64776528810332,-9.64776528810332,-9.64776528810332,-9.64776528810332,-9.64776528810332,-9.64776528810332
-7.0686666667,-7.0686666667,-7.0686666667,-7.0686666667,-7.0686666667,-7.0686666667,-7.0686666667,-7.0686666667,-9.80823843930797,-9.80823843930797,-9.80823843930797,-9.80823843930797,-9.80823843930797,-9.80823843930797,-9.80823843930797,-9.80823843930797
-7.17466666670001,-7.17466666670001,-7.17466666670001,-7.17466666670001,-7.17466666670001,-7.17466666670001,-7.17466666670001,-7.17466666670001,-9.94069941442523,-9.94069941442523,-9.94069941442523,-9.94069941442523,-9.94069941442523,-9.94069941442523,-9.94069941442523,-9.94069941442523
-7.328,-7.328,-7.328,-7.328,-7.328,-7.328,-7.328,-7.328,-10.1316226081186,-10.1316226081186,-10.1316226081186,-10.1316226081186,-10.1316226081186,-10.1316226081186,-10.1316226081186,-10.1316226081186
