"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min","rel_error_sp_15min","rel_error_sp_30min","rel_error_sp_45min","rel_error_sp_60min","rel_error_sp_75min","rel_error_sp_90min","rel_error_sp_105min","rel_error_sp_120min"
-12.2357142857,-12.2357142857,-12.2357142857,-12.2357142857,-12.2357142857,-12.2357142857,-12.2357142857,-12.2357142857,-18.1982364814444,-18.1982364814444,-18.1982364814444,-18.1982364814444,-18.1982364814444,-18.1982364814444,-18.1982364814444,-18.1982364814444
-12.6453333333,-12.6453333333,-12.6453333333,-12.6453333333,-12.6453333333,-12.6453333333,-12.6453333333,-12.6453333333,-18.6935782709419,-18.6935782709419,-18.6935782709419,-18.6935782709419,-18.6935782709419,-18.6935782709419,-18.6935782709419,-18.6935782709419
-12.9013333333,-12.9013333333,-12.9013333333,-12.9013333333,-12.9013333333,-12.9013333333,-12.9013333333,-12.9013333333,-19.0001178179707,-19.0001178179707,-19.0001178179707,-19.0001178179707,-19.0001178179707,-19.0001178179707,-19.0001178179707,-19.0001178179707
-13.098,-13.098,-13.098,-13.098,-13.098,-13.098,-13.098,-13.098,-19.2340450527181,-19.2340450527181,-19.2340450527181,-19.2340450527181,-19.2340450527181,-19.2340450527181,-19.2340450527181,-19.2340450527181
-13.2513333333,-13.2513333333,-13.2513333333,-13.2513333333,-13.2513333333,-13.2513333333,-13.2513333333,-13.2513333333,-19.4154937143691,-19.4154937143691,-19.4154937143691,-19.4154937143691,-19.4154937143691,-19.4154937143691,-19.4154937143691,-19.4154937143691
-13.3826666667,-13.3826666667,-13.3826666667,-13.3826666667,-13.3826666667,-13.3826666667,-13.3826666667,-13.3826666667,-19.5702614698074,-19.5702614698074,-19.5702614698074,-19.5702614698074,-19.5702614698074,-19.5702614698074,-19.5702614698074,-19.5702614698074
-13.4946666667,-13.4946666667,-13.4946666667,-13.4946666667,-13.4946666667,-13.4946666667,-13.4946666667,-13.4946666667,-19.7017772673689,-19.7017772673689,-19.7017772673689,-19.7017772673689,-19.7017772673689,-19.7017772673689,-19.7017772673689,-19.7017772673689
-13.5826666667,-13.5826666667,-13.5826666667,-13.5826666667,-13.5826666667,-13.5826666667,-13.5826666667,-13.5826666667,-19.8048097673271,-19.8048097673271,-19.8048097673271,-19.8048097673271,-19.8048097673271,-19.8048097673271,-19.8048097673271,-19.8048097673271
-13.7506666667,-13.7506666667,-13.7506666667,-13.7506666667,-13.7506666667,-13.7506666667,-13.7506666667,-13.7506666667,-20.0007757500921,-20.0007757500921,-20.0007757500921,-20.0007757500921,-20.0007757500921,-20.0007757500921,-20.0007757500921,-20.0007757500921
-13.982,-13.982,-13.982,-13.982,-13.982,-13.982,-13.982,-13.982,-20.2690556956887,-20.2690556956887,-20.2690556956887,-20.2690556956887,-20.2690556956887,-20.2690556956887,-20.2690556956887,-20.2690556956887
