"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min","rel_error_sp_15min","rel_error_sp_30min","rel_error_sp_45min","rel_error_sp_60min","rel_error_sp_75min","rel_error_sp_90min","rel_error_sp_105min","rel_error_sp_120min"
-5.5614285714,-5.5614285714,-5.5614285714,-5.5614285714,-5.5614285714,-5.5614285714,-5.5614285714,-5.5614285714,-8.48277515085459,-8.48277515085459,-8.48277515085459,-8.48277515085459,-8.48277515085459,-8.48277515085459,-8.48277515085459,-8.48277515085459
-5.654,-5.654,-5.654,-5.654,-5.654,-5.654,-5.654,-5.654,-8.61181344624851,-8.61181344624851,-8.61181344624851,-8.61181344624851,-8.61181344624851,-8.61181344624851,-8.61181344624851,-8.61181344624851
-5.742,-5.742,-5.742,-5.742,-5.742,-5.742,-5.742,-5.742,-8.73414255726933,-8.73414255726933,-8.73414255726933,-8.73414255726933,-8.73414255726933,-8.73414255726933,-8.73414255726933,-8.73414255726933
-5.80266666670001,-5.80266666670001,-5.80266666670001,-5.80266666670001,-5.80266666670001,-5.80266666670001,-5.80266666670001,-5.80266666670001,-8.81828497329956,-8.81828497329956,-8.81828497329956,-8.81828497329956,-8.81828497329956,-8.81828497329956,-8.81828497329956,-8.81828497329956
-6.00866666669999,-6.00866666669999,-6.00866666669999,-6.00866666669999,-6.00866666669999,-6.00866666669999,-6.00866666669999,-6.00866666669999,-9.10284508099486,-9.10284508099486,-9.10284508099486,-9.10284508099486,-9.10284508099486,-9.10284508099486,-9.10284508099486,-9.10284508099486
-6.206,-6.206,-6.206,-6.206,-6.206,-6.206,-6.206,-6.206,-9.3737727698396,-9.3737727698396,-9.3737727698396,-9.3737727698396,-9.3737727698396,-9.3737727698396,-9.3737727698396,-9.3737727698396
-6.42400000000001,-6.42400000000001,-6.42400000000001,-6.42400000000001,-6.42400000000001,-6.42400000000001,-6.42400000000001,-6.42400000000001,-9.67120317957366,-9.67120317957366,-9.67120317957366,-9.67120317957366,-9.67120317957366,-9.67120317957366,-9.67120317957366,-9.67120317957366
-6.5906666667,-6.5906666667,-6.5906666667,-6.5906666667,-6.5906666667,-6.5906666667,-6.5906666667,-6.5906666667,-9.89728290255397,-9.89728290255397,-9.89728290255397,-9.89728290255397,-9.89728290255397,-9.89728290255397,-9.89728290255397,-9.89728290255397
-6.842,-6.842,-6.842,-6.842,-6.842,-6.842,-6.842,-6.842,-10.2360791119356,-10.2360791119356,-10.2360791119356,-10.2360791119356,-10.2360791119356,-10.2360791119356,-10.2360791119356,-10.2360791119356
-7.04000000000001,-7.04000000000001,-7.04000000000001,-7.04000000000001,-7.04000000000001,-7.04000000000001,-7.04000000000001,-7.04000000000001,-10.5011933174224,-10.5011933174224,-10.5011933174224,-10.5011933174224,-10.5011933174224,-10.5011933174224,-10.5011933174224,-10.5011933174224
-7.2733333333,-7.2733333333,-7.2733333333,-7.2733333333,-7.2733333333,-7.2733333333,-7.2733333333,-7.2733333333,-10.8116143097368,-10.8116143097368,-10.8116143097368,-10.8116143097368,-10.8116143097368,-10.8116143097368,-10.8116143097368,-10.8116143097368
