"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min","rel_error_sp_15min","rel_error_sp_30min","rel_error_sp_45min","rel_error_sp_60min","rel_error_sp_75min","rel_error_sp_90min","rel_error_sp_105min","rel_error_sp_120min"
14.4,14.48,14.48,13.66,14.48,13.8,14.19,14.48,70.1754385964912,70.5653021442495,70.5653021442495,66.5692007797271,70.5653021442495,67.2514619883041,69.1520467836257,70.5653021442495
14.19,14,14.44,13.98,14.15,13.64,13.99,12.94,69.1520467836257,68.2261208576998,70.3703703703704,68.1286549707602,68.9571150097466,66.4717348927875,68.17738791423,63.0604288499025
14.48,14.2,13.68,14.4,14.33,14.48,14.48,14.48,70.5653021442495,69.2007797270955,66.6666666666667,70.1754385964912,69.8343079922027,70.5653021442495,70.5653021442495,70.5653021442495
13.49,14.2,13.42,14,13.32,13.32,13.17,13.65,65.7407407407407,69.2007797270955,65.3996101364522,68.2261208576998,64.9122807017544,64.9122807017544,64.1812865497076,66.5204678362573
14.48,14.32,14.01,14.2,14.44,14.44,14.36,14.4,70.5653021442495,69.785575048733,68.2748538011696,69.2007797270955,70.3703703703704,70.3703703703704,69.9805068226121,70.1754385964912
13.21,13.13,14.36,12.96,13.31,13.43,13.78,12.97,64.3762183235867,63.9863547758285,69.9805068226121,63.1578947368421,64.8635477582846,65.448343079922,67.1539961013645,63.2066276803119
13.59,14.14,14.2,13.14,13.99,14.36,14.4,14.11,66.2280701754386,68.9083820662768,69.2007797270955,64.0350877192982,68.17738791423,69.9805068226121,70.1754385964912,68.7621832358675
13.61,13.95,14.36,13.66,14.01,14.48,14.28,14.48,66.3255360623782,67.9824561403509,69.9805068226121,66.5692007797271,68.2748538011696,70.5653021442495,69.5906432748538,70.5653021442495
14.07,13.52,13.7,13.9,13.98,14.48,13.02,13.27,68.5672514619883,65.8869395711501,66.7641325536062,67.738791423002,68.1286549707602,70.5653021442495,63.4502923976608,64.6686159844054
14.48,14.48,13.89,14.26,14.36,14.44,14.32,14.4,70.5653021442495,70.5653021442495,67.6900584795322,69.4931773879142,69.9805068226121,70.3703703703704,69.785575048733,70.1754385964912
14.4,12.07,13.84,13.51,14.36,14.48,14.36,14.36,70.1754385964912,58.8206627680312,67.4463937621832,65.8382066276803,69.9805068226121,70.5653021442495,69.9805068226121,69.9805068226121
14.48,14.1,14.32,14.4,13.84,14.36,14.36,14.28,70.5653021442495,68.7134502923977,69.785575048733,70.1754385964912,67.4463937621832,69.9805068226121,69.9805068226121,69.5906432748538
13.45,14.4,14.4,13.28,13.13,14.48,12.05,14.48,65.5458089668616,70.1754385964912,70.1754385964912,64.7173489278752,63.9863547758285,70.5653021442495,58.7231968810916,70.5653021442495
13.94,14.48,14.15,13.86,13.85,14.48,14.11,14.28,67.9337231968811,70.5653021442495,68.9571150097466,67.5438596491228,67.495126705653,70.5653021442495,68.7621832358675,69.5906432748538
14.4,14.48,14.4,14.4,14.44,14.48,14.48,14.29,70.1754385964912,70.5653021442495,70.1754385964912,70.1754385964912,70.3703703703704,70.5653021442495,70.5653021442495,69.6393762183236
